  
       XFOIL         Version 6.99
  
 Calculated polar for: Eiffel 428 (Bleriot)                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2671   0.01391   0.00453  -0.0824   0.1288   0.0507
  -1.500   0.3173   0.01305   0.00362  -0.0813   0.1261   0.0529
  -1.250   0.3425   0.01277   0.00333  -0.0807   0.1255   0.0543
  -1.000   0.3679   0.01258   0.00315  -0.0802   0.1250   0.0562
  -0.750   0.3935   0.01247   0.00304  -0.0797   0.1247   0.0585
  -0.500   0.4193   0.01240   0.00295  -0.0793   0.1245   0.0612
  -0.250   0.4451   0.01237   0.00292  -0.0789   0.1239   0.0632
   0.000   0.4702   0.01232   0.00287  -0.0783   0.1219   0.0687
   0.250   0.4955   0.01235   0.00291  -0.0778   0.1203   0.0762
   0.500   0.5188   0.01202   0.00302  -0.0771   0.1194   0.2374
   1.000   0.6096   0.01079   0.00362  -0.0859   0.1150   1.0000
   1.250   0.6336   0.01100   0.00379  -0.0852   0.1136   1.0000
   1.500   0.6581   0.01116   0.00392  -0.0846   0.1124   1.0000
   1.750   0.6823   0.01135   0.00409  -0.0839   0.1105   1.0000
   2.000   0.7061   0.01158   0.00429  -0.0832   0.1082   1.0000
   2.250   0.7282   0.01194   0.00461  -0.0822   0.1049   1.0000
   2.500   0.7518   0.01216   0.00483  -0.0815   0.1022   1.0000
   2.750   0.7783   0.01217   0.00481  -0.0812   0.0986   1.0000
   3.000   0.8030   0.01231   0.00490  -0.0807   0.0942   1.0000
   3.250   0.8304   0.01223   0.00482  -0.0807   0.0895   1.0000
   3.500   0.8564   0.01227   0.00486  -0.0804   0.0804   1.0000
   3.750   0.8794   0.01255   0.00495  -0.0796   0.0559   1.0000
   4.000   0.9013   0.01291   0.00534  -0.0785   0.0536   1.0000
   4.250   0.9230   0.01329   0.00574  -0.0775   0.0511   1.0000
   4.500   0.9449   0.01364   0.00613  -0.0765   0.0493   1.0000
   4.750   0.9667   0.01400   0.00653  -0.0755   0.0480   1.0000
   5.000   0.9872   0.01444   0.00703  -0.0742   0.0458   1.0000
   5.250   1.0056   0.01502   0.00764  -0.0727   0.0438   1.0000
   5.500   1.0164   0.01610   0.00875  -0.0699   0.0413   1.0000
   5.750   1.0377   0.01642   0.00912  -0.0689   0.0399   1.0000
   6.000   1.0561   0.01693   0.00968  -0.0674   0.0378   1.0000
