  
       XFOIL         Version 6.99
  
 Calculated polar for: Eiffel 430 (Lachassgne)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2494   0.01366   0.00479  -0.0608   0.2746   0.0682
  -1.750   0.2743   0.01362   0.00477  -0.0600   0.2737   0.0755
  -1.500   0.2990   0.01360   0.00484  -0.0593   0.2726   0.0956
  -1.250   0.3237   0.01368   0.00493  -0.0585   0.2713   0.1179
  -1.000   0.3486   0.01385   0.00516  -0.0578   0.2700   0.1368
  -0.750   0.3748   0.01394   0.00531  -0.0573   0.2693   0.1525
  -0.500   0.4011   0.01408   0.00546  -0.0568   0.2685   0.1631
  -0.250   0.4275   0.01425   0.00561  -0.0563   0.2676   0.1721
   0.000   0.4540   0.01443   0.00580  -0.0559   0.2667   0.1797
   0.250   0.4799   0.01457   0.00593  -0.0554   0.2656   0.1859
   0.500   0.5058   0.01471   0.00607  -0.0549   0.2643   0.1919
   0.750   0.5313   0.01479   0.00615  -0.0543   0.2627   0.1980
   1.000   0.5566   0.01488   0.00626  -0.0537   0.2616   0.2036
   1.250   0.5824   0.01505   0.00639  -0.0532   0.2606   0.2090
   1.500   0.6071   0.01510   0.00647  -0.0526   0.2595   0.2146
   1.750   0.6326   0.01531   0.00667  -0.0521   0.2585   0.2198
   2.000   0.6583   0.01556   0.00690  -0.0518   0.2574   0.2245
   2.250   0.6825   0.01549   0.00692  -0.0510   0.2564   0.2292
   2.500   0.7069   0.01549   0.00696  -0.0502   0.2548   0.2330
   2.750   0.7316   0.01556   0.00707  -0.0496   0.2534   0.2360
   3.000   0.7560   0.01562   0.00716  -0.0489   0.2519   0.2386
   3.250   0.7798   0.01563   0.00722  -0.0481   0.2505   0.2426
   3.500   0.8035   0.01566   0.00729  -0.0473   0.2490   0.2459
   3.750   0.8267   0.01567   0.00732  -0.0464   0.2474   0.2500
   4.000   0.8503   0.01580   0.00744  -0.0457   0.2453   0.2552
   4.250   0.8718   0.01566   0.00742  -0.0444   0.2429   0.2601
   4.500   0.8933   0.01551   0.00737  -0.0431   0.2396   0.2651
   5.000   0.9353   0.01512   0.00722  -0.0404   0.2340   0.3330
   5.250   1.0951   0.01392   0.00748  -0.0698   0.2224   1.0000
   5.500   1.1190   0.01388   0.00745  -0.0690   0.2172   1.0000
   5.750   1.1442   0.01378   0.00736  -0.0685   0.2078   1.0000
   6.000   1.1685   0.01375   0.00729  -0.0678   0.1876   1.0000
