  
       XFOIL         Version 6.99
  
 Calculated polar for: ESA40                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2970   0.01315   0.00582   0.0578   0.6552   0.0180
  -1.750  -0.2692   0.01267   0.00525   0.0582   0.6366   0.0186
  -1.500  -0.2417   0.01212   0.00461   0.0586   0.6169   0.0194
  -1.250  -0.2138   0.01172   0.00418   0.0587   0.5955   0.0215
  -1.000  -0.1852   0.01146   0.00381   0.0588   0.5741   0.0229
  -0.750  -0.1566   0.01112   0.00340   0.0589   0.5518   0.0255
  -0.500  -0.1276   0.01093   0.00310   0.0590   0.5263   0.0315
  -0.250  -0.1080   0.00817   0.00262   0.0594   0.5020   0.6553
   0.000  -0.0934   0.00742   0.00276   0.0633   0.4780   0.9010
   0.250  -0.0739   0.00757   0.00285   0.0662   0.4520   0.9444
   0.500  -0.0455   0.00785   0.00300   0.0671   0.4227   0.9706
   0.750   0.0125   0.00845   0.00336   0.0612   0.3809   0.9836
   1.000   0.0743   0.00901   0.00365   0.0542   0.3380   0.9901
   1.250   0.1138   0.00927   0.00372   0.0517   0.3068   0.9936
   1.500   0.1517   0.00948   0.00376   0.0495   0.2817   0.9955
   1.750   0.1894   0.00966   0.00379   0.0473   0.2620   0.9971
   2.000   0.2262   0.00983   0.00385   0.0454   0.2474   0.9989
   2.250   0.2595   0.00996   0.00389   0.0441   0.2365   1.0000
   2.500   0.2875   0.01008   0.00391   0.0440   0.2274   1.0000
   2.750   0.3150   0.01013   0.00392   0.0440   0.2201   1.0000
   3.000   0.3430   0.01028   0.00397   0.0439   0.2127   1.0000
   3.250   0.3702   0.01032   0.00401   0.0439   0.2068   1.0000
   3.500   0.3977   0.01045   0.00407   0.0439   0.2009   1.0000
   3.750   0.4247   0.01057   0.00417   0.0440   0.1961   1.0000
   4.000   0.4513   0.01066   0.00424   0.0442   0.1915   1.0000
   4.250   0.4779   0.01082   0.00435   0.0443   0.1869   1.0000
   4.500   0.5043   0.01100   0.00450   0.0445   0.1826   1.0000
   4.750   0.5303   0.01108   0.00460   0.0448   0.1787   1.0000
   5.000   0.5561   0.01123   0.00473   0.0451   0.1750   1.0000
   5.250   0.5818   0.01151   0.00495   0.0453   0.1709   1.0000
   5.500   0.6072   0.01166   0.00512   0.0457   0.1682   1.0000
   5.750   0.6323   0.01179   0.00527   0.0461   0.1653   1.0000
   6.000   0.6573   0.01195   0.00544   0.0465   0.1621   1.0000
