  
       XFOIL         Version 6.99
  
 Calculated polar for: FAUVEL 14% AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1763   0.01174   0.00351   0.0295   0.4584   0.0543
  -1.500  -0.1250   0.01130   0.00315   0.0309   0.4438   0.0775
  -1.250  -0.1053   0.01062   0.00293   0.0324   0.4377   0.1941
  -1.000  -0.0813   0.01029   0.00286   0.0333   0.4317   0.2676
  -0.750  -0.0571   0.01002   0.00276   0.0341   0.4255   0.3210
  -0.500  -0.0412   0.00922   0.00252   0.0363   0.4200   0.4796
  -0.250  -0.0324   0.00826   0.00249   0.0404   0.4157   0.7224
   0.000  -0.0099   0.00810   0.00257   0.0421   0.4103   0.7958
   0.250   0.0155   0.00813   0.00266   0.0431   0.4053   0.8356
   0.500   0.0430   0.00820   0.00277   0.0438   0.4005   0.8604
   0.750   0.0710   0.00827   0.00286   0.0442   0.3955   0.8785
   1.000   0.0992   0.00840   0.00296   0.0447   0.3905   0.8947
   1.250   0.1274   0.00859   0.00310   0.0451   0.3858   0.9088
   1.500   0.1562   0.00873   0.00326   0.0454   0.3818   0.9221
   1.750   0.1845   0.00891   0.00342   0.0459   0.3776   0.9339
   2.000   0.2212   0.00912   0.00357   0.0445   0.3730   0.9383
   2.250   0.2544   0.00934   0.00373   0.0437   0.3687   0.9432
   2.500   0.2846   0.00944   0.00383   0.0435   0.3647   0.9489
   2.750   0.3226   0.00959   0.00396   0.0416   0.3607   0.9508
   3.000   0.3597   0.00976   0.00407   0.0399   0.3566   0.9528
   3.250   0.3961   0.00998   0.00422   0.0383   0.3525   0.9553
   3.500   0.4251   0.01008   0.00434   0.0382   0.3491   0.9608
   3.750   0.4642   0.01020   0.00445   0.0360   0.3450   0.9619
   4.000   0.5013   0.01034   0.00455   0.0342   0.3413   0.9633
   4.250   0.5377   0.01058   0.00471   0.0325   0.3372   0.9653
   4.500   0.5741   0.01067   0.00484   0.0308   0.3334   0.9685
   4.750   0.6046   0.01076   0.00494   0.0304   0.3291   0.9728
   5.000   0.6432   0.01087   0.00502   0.0282   0.3245   0.9744
   5.250   0.6796   0.01106   0.00517   0.0264   0.3201   0.9763
   5.500   0.7143   0.01110   0.00525   0.0250   0.3158   0.9787
   5.750   0.7457   0.01118   0.00534   0.0242   0.3112   0.9820
   6.000   0.7789   0.01133   0.00544   0.0231   0.3071   0.9843
