  
       XFOIL         Version 6.99
  
 Calculated polar for: Fage & Collins 2                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.2152   0.00238  -0.00384  -0.0639   0.7807   0.0546
  -1.000   0.2586   0.00208  -0.00455  -0.0609   0.6954   0.0489
  -0.750   0.2797   0.00199  -0.00480  -0.0594   0.6654   0.0483
  -0.500   0.3010   0.00188  -0.00504  -0.0578   0.6422   0.0460
  -0.250   0.3230   0.00183  -0.00522  -0.0565   0.6222   0.0444
   0.250   0.3674   0.00175  -0.00548  -0.0541   0.5863   0.0436
   0.500   0.3902   0.00171  -0.00558  -0.0530   0.5705   0.0437
   0.750   0.4127   0.00168  -0.00569  -0.0519   0.5532   0.0449
   1.000   0.4358   0.00167  -0.00578  -0.0509   0.5369   0.0460
   1.250   0.4589   0.00168  -0.00586  -0.0499   0.5202   0.0477
   1.500   0.4824   0.00168  -0.00591  -0.0490   0.5029   0.0490
   1.750   0.5059   0.00169  -0.00596  -0.0482   0.4859   0.0519
   2.250   0.6745   0.00098  -0.00471  -0.0752   0.4245   1.0000
   2.500   0.6967   0.00101  -0.00477  -0.0741   0.4068   1.0000
   2.750   0.7190   0.00104  -0.00482  -0.0731   0.3919   1.0000
   3.000   0.7413   0.00108  -0.00484  -0.0721   0.3803   1.0000
   3.500   0.7863   0.00115  -0.00484  -0.0701   0.3603   1.0000
   3.750   0.8088   0.00119  -0.00482  -0.0692   0.3523   1.0000
   4.000   0.8314   0.00123  -0.00479  -0.0683   0.3448   1.0000
   4.250   0.8540   0.00128  -0.00473  -0.0673   0.3366   1.0000
   4.500   0.8760   0.00133  -0.00471  -0.0663   0.3238   1.0000
   4.750   0.8980   0.00138  -0.00468  -0.0653   0.3114   1.0000
   5.000   0.9200   0.00144  -0.00463  -0.0643   0.2987   1.0000
   5.250   0.9422   0.00149  -0.00459  -0.0634   0.2822   1.0000
   5.500   0.9633   0.00157  -0.00457  -0.0623   0.2592   1.0000
   5.750   0.9817   0.00172  -0.00462  -0.0608   0.2088   1.0000
   6.000   0.9955   0.00203  -0.00460  -0.0585   0.1554   1.0000
