  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 05-191 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2264   0.00940   0.00451  -0.1087   0.7760   0.6793
  -1.750   0.2573   0.00938   0.00447  -0.1094   0.7733   0.6845
  -1.500   0.2831   0.00936   0.00445  -0.1092   0.7682   0.6911
  -1.250   0.3116   0.00931   0.00441  -0.1094   0.7639   0.6961
  -1.000   0.3419   0.00927   0.00434  -0.1100   0.7604   0.7012
  -0.750   0.3714   0.00925   0.00427  -0.1106   0.7561   0.7077
  -0.500   0.3973   0.00925   0.00433  -0.1102   0.7506   0.7115
  -0.250   0.4263   0.00924   0.00430  -0.1105   0.7463   0.7160
   0.000   0.4555   0.00923   0.00425  -0.1110   0.7411   0.7217
   0.250   0.4819   0.00923   0.00428  -0.1108   0.7348   0.7255
   0.500   0.5105   0.00926   0.00428  -0.1110   0.7301   0.7290
   0.750   0.5363   0.00931   0.00435  -0.1108   0.7231   0.7334
   1.000   0.5663   0.00930   0.00428  -0.1115   0.7171   0.7386
   1.250   0.5912   0.00937   0.00439  -0.1109   0.7100   0.7411
   1.500   0.6174   0.00945   0.00446  -0.1106   0.7034   0.7442
   1.750   0.6440   0.00954   0.00454  -0.1105   0.6965   0.7480
   2.000   0.6733   0.00959   0.00453  -0.1112   0.6895   0.7530
   2.250   0.6985   0.00969   0.00464  -0.1107   0.6826   0.7554
   2.500   0.7234   0.00982   0.00477  -0.1102   0.6757   0.7579
   2.750   0.7494   0.00996   0.00491  -0.1100   0.6694   0.7608
   3.000   0.7754   0.01009   0.00503  -0.1099   0.6626   0.7646
   3.250   0.8060   0.01021   0.00507  -0.1108   0.6564   0.7689
   3.500   0.8282   0.01033   0.00525  -0.1098   0.6490   0.7709
   3.750   0.8533   0.01052   0.00539  -0.1094   0.6415   0.7731
   4.000   0.8748   0.01066   0.00558  -0.1083   0.6335   0.7758
   4.250   0.9019   0.01084   0.00572  -0.1084   0.6270   0.7791
   4.500   0.9268   0.01095   0.00586  -0.1082   0.6199   0.7831
   4.750   0.9516   0.01109   0.00598  -0.1078   0.6128   0.7856
   5.000   0.9723   0.01122   0.00618  -0.1066   0.6059   0.7876
   5.250   0.9928   0.01138   0.00634  -0.1053   0.5974   0.7901
   5.500   1.0110   0.01151   0.00650  -0.1036   0.5875   0.7931
   5.750   1.0309   0.01166   0.00663  -0.1023   0.5776   0.7965
   6.000   1.0488   0.01178   0.00675  -0.1008   0.5677   0.8000
