  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 057-816                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2127   0.01714   0.00958  -0.0699   0.5813   0.0810
  -1.750   0.2395   0.01718   0.00961  -0.0700   0.5807   0.0820
  -1.500   0.2660   0.01724   0.00971  -0.0700   0.5800   0.0828
  -1.250   0.2923   0.01730   0.00982  -0.0701   0.5791   0.0837
  -1.000   0.3186   0.01740   0.00997  -0.0702   0.5777   0.0846
  -0.750   0.3449   0.01742   0.01004  -0.0703   0.5764   0.0860
  -0.500   0.3713   0.01748   0.01017  -0.0705   0.5754   0.0888
  -0.250   0.3982   0.01761   0.01033  -0.0707   0.5744   0.0920
   0.000   0.4252   0.01769   0.01045  -0.0709   0.5736   0.0953
   0.250   0.4524   0.01778   0.01056  -0.0711   0.5728   0.0994
   0.500   0.4798   0.01788   0.01069  -0.0714   0.5721   0.1045
   0.750   0.5073   0.01795   0.01081  -0.0716   0.5714   0.1154
   1.000   0.5315   0.01623   0.01086  -0.0727   0.5708   0.6774
   1.250   0.5551   0.01646   0.01140  -0.0715   0.5703   0.8104
   1.500   0.5809   0.01671   0.01167  -0.0709   0.5698   0.8305
   1.750   0.6061   0.01698   0.01195  -0.0702   0.5692   0.8447
   2.000   0.6309   0.01726   0.01225  -0.0696   0.5687   0.8545
   2.250   0.6545   0.01755   0.01256  -0.0686   0.5682   0.8637
   2.500   0.6789   0.01789   0.01291  -0.0679   0.5678   0.8736
   2.750   0.7008   0.01829   0.01334  -0.0668   0.5672   0.8804
   3.000   0.7096   0.02017   0.01548  -0.0657   0.5617   0.8861
   3.250   0.7287   0.02061   0.01598  -0.0644   0.5602   0.8920
   3.500   0.7516   0.02090   0.01631  -0.0637   0.5591   0.8974
   3.750   0.7799   0.02094   0.01634  -0.0640   0.5583   0.9009
   4.000   0.8091   0.02066   0.01606  -0.0641   0.5576   0.9034
   4.250   0.8369   0.02033   0.01571  -0.0638   0.5570   0.9068
   4.500   0.8647   0.02019   0.01558  -0.0637   0.5565   0.9103
   4.750   0.8926   0.02015   0.01554  -0.0637   0.5560   0.9152
   5.000   0.9210   0.01985   0.01523  -0.0636   0.5554   0.9184
   5.250   0.9546   0.01920   0.01455  -0.0643   0.5547   0.9199
   5.750   0.9874   0.02095   0.01656  -0.0630   0.5469   0.9234
   6.000   1.0214   0.02041   0.01603  -0.0639   0.5460   0.9240
