  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 05-H-126 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0063   0.01505   0.00759  -0.0166   0.5846   0.0302
  -1.750   0.0335   0.01454   0.00707  -0.0164   0.5836   0.0306
  -1.500   0.0607   0.01415   0.00667  -0.0162   0.5826   0.0312
  -1.250   0.0878   0.01384   0.00635  -0.0160   0.5815   0.0320
  -1.000   0.1150   0.01358   0.00607  -0.0159   0.5803   0.0329
  -0.750   0.1425   0.01340   0.00587  -0.0158   0.5791   0.0339
  -0.500   0.1696   0.01316   0.00563  -0.0156   0.5781   0.0364
  -0.250   0.1973   0.01304   0.00551  -0.0156   0.5772   0.0394
   0.000   0.2251   0.01293   0.00540  -0.0155   0.5761   0.0448
   0.250   0.2518   0.01263   0.00528  -0.0153   0.5750   0.1012
   0.500   0.2664   0.01105   0.00519  -0.0133   0.5738   0.5806
   0.750   0.3733   0.01014   0.00535  -0.0296   0.5722   0.9916
   1.000   0.4258   0.01023   0.00539  -0.0349   0.5707   1.0000
   1.250   0.4524   0.01032   0.00547  -0.0349   0.5692   1.0000
   1.500   0.4790   0.01042   0.00555  -0.0348   0.5676   1.0000
   1.750   0.5056   0.01053   0.00564  -0.0347   0.5662   1.0000
   2.000   0.5321   0.01062   0.00572  -0.0345   0.5648   1.0000
   2.250   0.5586   0.01070   0.00577  -0.0343   0.5633   1.0000
   2.500   0.5850   0.01077   0.00581  -0.0341   0.5620   1.0000
   2.750   0.6115   0.01084   0.00586  -0.0340   0.5609   1.0000
   3.000   0.6380   0.01093   0.00592  -0.0338   0.5599   1.0000
   3.250   0.6645   0.01103   0.00599  -0.0335   0.5587   1.0000
   3.500   0.6910   0.01122   0.00617  -0.0334   0.5573   1.0000
   3.750   0.7182   0.01137   0.00640  -0.0336   0.5553   1.0000
   4.000   0.7451   0.01151   0.00658  -0.0337   0.5533   1.0000
   4.250   0.7720   0.01160   0.00669  -0.0336   0.5513   1.0000
   4.500   0.7988   0.01162   0.00672  -0.0335   0.5493   1.0000
   4.750   0.8256   0.01156   0.00665  -0.0333   0.5475   1.0000
   5.000   0.8524   0.01143   0.00649  -0.0329   0.5455   1.0000
   5.250   0.8793   0.01132   0.00639  -0.0327   0.5420   1.0000
   5.500   0.9066   0.01113   0.00625  -0.0326   0.5372   1.0000
   5.750   0.9338   0.01094   0.00607  -0.0324   0.5341   1.0000
   6.000   0.9609   0.01069   0.00577  -0.0321   0.5312   1.0000
