  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 60-100 (126) AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2856   0.00723   0.00221  -0.1212   0.8494   0.4878
  -1.750   0.3136   0.00733   0.00220  -0.1210   0.8384   0.4971
  -1.500   0.3411   0.00737   0.00220  -0.1207   0.8263   0.5046
  -1.250   0.3686   0.00743   0.00219  -0.1204   0.8127   0.5131
  -1.000   0.3959   0.00751   0.00219  -0.1200   0.7978   0.5207
  -0.750   0.4232   0.00755   0.00218  -0.1197   0.7824   0.5282
  -0.500   0.4508   0.00759   0.00216  -0.1195   0.7677   0.5335
  -0.250   0.4785   0.00764   0.00212  -0.1193   0.7530   0.5370
   0.000   0.5059   0.00764   0.00209  -0.1191   0.7371   0.5406
   0.250   0.5332   0.00769   0.00208  -0.1188   0.7199   0.5449
   0.500   0.5606   0.00777   0.00208  -0.1186   0.7031   0.5488
   0.750   0.5879   0.00783   0.00207  -0.1184   0.6860   0.5522
   1.000   0.6151   0.00789   0.00209  -0.1181   0.6681   0.5558
   1.250   0.6424   0.00798   0.00214  -0.1179   0.6525   0.5596
   1.500   0.6700   0.00809   0.00218  -0.1178   0.6395   0.5635
   1.750   0.6975   0.00814   0.00223  -0.1177   0.6273   0.5666
   2.000   0.7249   0.00822   0.00231  -0.1176   0.6155   0.5691
   2.250   0.7524   0.00832   0.00239  -0.1174   0.6040   0.5719
   2.500   0.7797   0.00843   0.00248  -0.1173   0.5923   0.5750
   2.750   0.8071   0.00854   0.00258  -0.1171   0.5798   0.5778
   3.000   0.8344   0.00862   0.00268  -0.1170   0.5672   0.5806
   3.250   0.8616   0.00872   0.00281  -0.1168   0.5548   0.5836
   3.500   0.8888   0.00883   0.00295  -0.1167   0.5417   0.5872
   3.750   0.9158   0.00897   0.00308  -0.1165   0.5272   0.5909
   4.000   0.9423   0.00911   0.00323  -0.1162   0.5092   0.5945
   4.250   0.9688   0.00926   0.00339  -0.1159   0.4861   0.5985
   4.500   0.9945   0.00949   0.00358  -0.1155   0.4532   0.6031
   4.750   1.0177   0.00996   0.00382  -0.1148   0.3943   0.6081
   5.000   1.0397   0.01064   0.00421  -0.1140   0.3348   0.6142
   5.500   1.0873   0.01164   0.00496  -0.1129   0.2584   0.6303
   5.750   1.1113   0.01210   0.00537  -0.1124   0.2272   0.6425
   6.000   1.1346   0.01264   0.00581  -0.1118   0.1919   0.6614
