  
       XFOIL         Version 6.99
  
 Calculated polar for: FX60-100 10.0% smoothed                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2884   0.00706   0.00213  -0.1207   0.8664   0.4533
  -1.750   0.3164   0.00703   0.00207  -0.1205   0.8579   0.4673
  -1.500   0.3444   0.00699   0.00200  -0.1203   0.8493   0.4793
  -1.250   0.3722   0.00696   0.00197  -0.1201   0.8393   0.4918
  -1.000   0.4001   0.00694   0.00193  -0.1199   0.8295   0.5041
  -0.750   0.4280   0.00693   0.00189  -0.1197   0.8197   0.5159
  -0.500   0.4559   0.00693   0.00186  -0.1195   0.8088   0.5278
  -0.250   0.4837   0.00692   0.00185  -0.1193   0.7969   0.5396
   0.000   0.5115   0.00693   0.00184  -0.1191   0.7846   0.5516
   0.250   0.5392   0.00695   0.00184  -0.1189   0.7716   0.5637
   0.500   0.5668   0.00697   0.00185  -0.1187   0.7582   0.5760
   0.750   0.5944   0.00699   0.00187  -0.1184   0.7442   0.5889
   1.000   0.6219   0.00704   0.00190  -0.1182   0.7292   0.6023
   1.250   0.6491   0.00710   0.00194  -0.1179   0.7131   0.6164
   1.500   0.6764   0.00716   0.00199  -0.1176   0.6954   0.6314
   1.750   0.7034   0.00723   0.00205  -0.1173   0.6766   0.6474
   2.000   0.7301   0.00733   0.00213  -0.1170   0.6560   0.6640
   2.250   0.7564   0.00746   0.00222  -0.1165   0.6308   0.6825
   2.500   0.7826   0.00759   0.00232  -0.1161   0.6048   0.7032
   2.750   0.8086   0.00772   0.00244  -0.1156   0.5798   0.7268
   3.000   0.8344   0.00785   0.00258  -0.1151   0.5548   0.7551
   3.250   0.8595   0.00797   0.00274  -0.1145   0.5310   0.7919
   3.500   0.8814   0.00798   0.00287  -0.1131   0.5076   0.8622
   3.750   0.9047   0.00805   0.00296  -0.1120   0.4816   1.0000
   4.000   0.9311   0.00833   0.00314  -0.1118   0.4557   1.0000
   4.250   0.9573   0.00863   0.00334  -0.1115   0.4298   1.0000
   4.500   0.9830   0.00897   0.00356  -0.1112   0.4008   1.0000
   4.750   1.0083   0.00936   0.00380  -0.1108   0.3687   1.0000
   5.000   1.0334   0.00976   0.00408  -0.1104   0.3358   1.0000
   5.250   1.0579   0.01023   0.00439  -0.1099   0.3019   1.0000
   5.500   1.0820   0.01075   0.00474  -0.1094   0.2637   1.0000
   5.750   1.1054   0.01136   0.00515  -0.1088   0.2235   1.0000
   6.000   1.1286   0.01198   0.00558  -0.1082   0.1865   1.0000
