  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 61-140 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2672   0.00857   0.00321  -0.1107   0.6455   0.6686
  -1.750   0.2957   0.00870   0.00322  -0.1109   0.6322   0.6742
  -1.500   0.3233   0.00882   0.00325  -0.1108   0.6199   0.6778
  -1.250   0.3506   0.00895   0.00331  -0.1106   0.6085   0.6810
  -1.000   0.3786   0.00907   0.00335  -0.1106   0.5979   0.6850
  -0.750   0.4080   0.00917   0.00333  -0.1111   0.5876   0.6895
  -0.500   0.4353   0.00925   0.00340  -0.1109   0.5783   0.6919
  -0.250   0.4628   0.00937   0.00347  -0.1108   0.5698   0.6947
   0.000   0.4910   0.00947   0.00352  -0.1109   0.5611   0.6981
   0.250   0.5208   0.00956   0.00353  -0.1115   0.5528   0.7024
   0.750   0.5757   0.00975   0.00369  -0.1113   0.5378   0.7072
   1.000   0.6034   0.00988   0.00378  -0.1113   0.5308   0.7101
   1.250   0.6324   0.00995   0.00383  -0.1117   0.5232   0.7135
   1.500   0.6616   0.01006   0.00387  -0.1121   0.5165   0.7165
   1.750   0.6891   0.01012   0.00397  -0.1120   0.5093   0.7185
   2.000   0.7165   0.01025   0.00407  -0.1120   0.5031   0.7207
   2.250   0.7447   0.01033   0.00417  -0.1121   0.4964   0.7232
   2.500   0.7730   0.01047   0.00428  -0.1124   0.4905   0.7261
   2.750   0.8026   0.01054   0.00436  -0.1129   0.4838   0.7293
   3.250   0.8575   0.01073   0.00461  -0.1129   0.4717   0.7332
   3.500   0.8849   0.01087   0.00474  -0.1129   0.4658   0.7355
   3.750   0.9130   0.01097   0.00489  -0.1130   0.4595   0.7381
   4.000   0.9414   0.01110   0.00501  -0.1133   0.4529   0.7411
   4.250   0.9697   0.01121   0.00515  -0.1136   0.4462   0.7435
   4.500   0.9967   0.01132   0.00530  -0.1135   0.4397   0.7453
   4.750   1.0239   0.01145   0.00549  -0.1134   0.4334   0.7473
   5.000   1.0511   0.01159   0.00565  -0.1134   0.4262   0.7496
   5.250   1.0787   0.01170   0.00583  -0.1135   0.4179   0.7521
   5.500   1.1060   0.01184   0.00597  -0.1136   0.4067   0.7546
   5.750   1.1327   0.01195   0.00607  -0.1135   0.3896   0.7568
   6.000   1.1575   0.01213   0.00622  -0.1131   0.3700   0.7586
