  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 66-17AII-182 AIRFOIL (AS TESTED AT N
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1877   0.01077   0.00430  -0.0836   0.5382   0.5884
  -1.750   0.2170   0.01082   0.00428  -0.0840   0.5364   0.5937
  -1.500   0.2461   0.01087   0.00432  -0.0843   0.5346   0.5988
  -1.250   0.2753   0.01096   0.00434  -0.0847   0.5329   0.6054
  -1.000   0.3044   0.01103   0.00437  -0.0850   0.5312   0.6107
  -0.750   0.3336   0.01119   0.00448  -0.0854   0.5293   0.6155
  -0.500   0.3627   0.01122   0.00450  -0.0858   0.5278   0.6200
  -0.250   0.3918   0.01124   0.00452  -0.0862   0.5261   0.6241
   0.000   0.4208   0.01127   0.00458  -0.0866   0.5244   0.6277
   0.250   0.4499   0.01133   0.00462  -0.0870   0.5227   0.6316
   0.500   0.4791   0.01139   0.00465  -0.0874   0.5211   0.6358
   0.750   0.5082   0.01143   0.00467  -0.0878   0.5195   0.6395
   1.000   0.5373   0.01148   0.00472  -0.0882   0.5179   0.6431
   1.250   0.5665   0.01158   0.00479  -0.0887   0.5163   0.6470
   1.500   0.5957   0.01176   0.00492  -0.0892   0.5146   0.6509
   1.750   0.6244   0.01179   0.00500  -0.0895   0.5133   0.6544
   2.000   0.6530   0.01184   0.00510  -0.0899   0.5117   0.6578
   2.250   0.6817   0.01192   0.00521  -0.0902   0.5101   0.6617
   2.500   0.7105   0.01200   0.00530  -0.0907   0.5084   0.6657
   2.750   0.7394   0.01205   0.00536  -0.0911   0.5067   0.6691
   3.000   0.7681   0.01211   0.00544  -0.0915   0.5051   0.6723
   3.250   0.7971   0.01220   0.00554  -0.0919   0.5036   0.6761
   3.500   0.8262   0.01233   0.00566  -0.0924   0.5023   0.6802
   3.750   0.8552   0.01253   0.00584  -0.0929   0.5008   0.6837
   4.000   0.8832   0.01262   0.00602  -0.0932   0.4993   0.6870
   4.250   0.9111   0.01270   0.00618  -0.0934   0.4976   0.6907
   4.500   0.9393   0.01280   0.00633  -0.0938   0.4958   0.6948
   4.750   0.9676   0.01291   0.00649  -0.0941   0.4942   0.6986
   5.000   0.9958   0.01300   0.00664  -0.0945   0.4926   0.7020
   5.250   1.0242   0.01310   0.00677  -0.0948   0.4910   0.7060
   5.500   1.0529   0.01321   0.00690  -0.0953   0.4895   0.7103
   5.750   1.0817   0.01334   0.00705  -0.0957   0.4880   0.7142
   6.000   1.1103   0.01359   0.00734  -0.0962   0.4864   0.7181
