  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 66-H-60                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.750  -0.1618   0.00402  -0.00265   0.0164   0.6390   0.0168
  -1.500  -0.1359   0.00387  -0.00300   0.0171   0.5987   0.0156
  -1.250  -0.1108   0.00343  -0.00364   0.0179   0.5651   0.0151
  -1.000  -0.0863   0.00300  -0.00427   0.0188   0.5362   0.0152
  -0.750  -0.0627   0.00255  -0.00494   0.0198   0.5120   0.0175
  -0.500  -0.0368   0.00243  -0.00521   0.0203   0.4884   0.0258
  -0.250  -0.0348   0.00137  -0.00348   0.0252   0.4744   0.8658
   0.000  -0.0165   0.00133  -0.00347   0.0287   0.4552   0.9556
   0.250   0.0575   0.00133  -0.00374   0.0197   0.4263   0.9828
   0.500   0.1469   0.00133  -0.00401   0.0065   0.3979   0.9980
   0.750   0.1792   0.00133  -0.00413   0.0053   0.3827   1.0000
   1.000   0.2028   0.00134  -0.00420   0.0060   0.3710   1.0000
   1.250   0.2264   0.00136  -0.00426   0.0067   0.3598   1.0000
   1.500   0.2500   0.00137  -0.00431   0.0074   0.3493   1.0000
   1.750   0.2736   0.00139  -0.00436   0.0082   0.3396   1.0000
   2.000   0.2973   0.00141  -0.00439   0.0089   0.3304   1.0000
   2.250   0.3211   0.00143  -0.00438   0.0095   0.3220   1.0000
   2.500   0.3447   0.00145  -0.00439   0.0102   0.3143   1.0000
   2.750   0.3685   0.00148  -0.00439   0.0109   0.3064   1.0000
   3.000   0.3921   0.00150  -0.00437   0.0116   0.2989   1.0000
   3.250   0.4154   0.00154  -0.00436   0.0124   0.2923   1.0000
   3.500   0.4388   0.00157  -0.00430   0.0131   0.2860   1.0000
   3.750   0.4621   0.00162  -0.00423   0.0139   0.2799   1.0000
   4.000   0.4852   0.00167  -0.00414   0.0147   0.2738   1.0000
   4.250   0.5083   0.00172  -0.00408   0.0155   0.2682   1.0000
   4.500   0.5311   0.00178  -0.00397   0.0164   0.2623   1.0000
   4.750   0.5542   0.00182  -0.00391   0.0172   0.2499   1.0000
   5.000   0.5771   0.00187  -0.00383   0.0181   0.2385   1.0000
   5.250   0.6002   0.00191  -0.00374   0.0188   0.2177   1.0000
   5.500   0.6229   0.00201  -0.00370   0.0196   0.1833   1.0000
   5.750   0.6362   0.00299  -0.00350   0.0211   0.0181   1.0000
   6.000   0.6575   0.00344  -0.00285   0.0222   0.0131   1.0000
