  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 66-S-161 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2293   0.00984   0.00327  -0.0924   0.5579   0.5175
  -1.750   0.2576   0.00991   0.00331  -0.0924   0.5551   0.5282
  -1.500   0.2860   0.00992   0.00331  -0.0926   0.5526   0.5353
  -1.250   0.3147   0.00999   0.00330  -0.0927   0.5501   0.5414
  -1.000   0.3434   0.01004   0.00330  -0.0930   0.5478   0.5461
  -0.750   0.3718   0.01003   0.00331  -0.0931   0.5455   0.5503
  -0.500   0.4004   0.01006   0.00331  -0.0933   0.5432   0.5550
  -0.250   0.4291   0.01009   0.00331  -0.0935   0.5408   0.5595
   0.000   0.4575   0.01009   0.00331  -0.0937   0.5384   0.5636
   0.250   0.4860   0.01016   0.00333  -0.0939   0.5359   0.5685
   0.500   0.5145   0.01021   0.00336  -0.0941   0.5331   0.5734
   0.750   0.5425   0.01019   0.00340  -0.0942   0.5304   0.5778
   1.000   0.5709   0.01023   0.00344  -0.0944   0.5280   0.5827
   1.250   0.5994   0.01028   0.00346  -0.0946   0.5256   0.5876
   1.500   0.6277   0.01032   0.00352  -0.0948   0.5236   0.5922
   1.750   0.6563   0.01044   0.00361  -0.0951   0.5215   0.5976
   2.000   0.6845   0.01050   0.00371  -0.0952   0.5194   0.6032
   2.250   0.7123   0.01052   0.00380  -0.0953   0.5169   0.6091
   2.500   0.7404   0.01058   0.00388  -0.0955   0.5144   0.6162
   2.750   0.7684   0.01062   0.00397  -0.0956   0.5121   0.6235
   3.000   0.7966   0.01070   0.00405  -0.0958   0.5099   0.6316
   3.250   0.8249   0.01081   0.00419  -0.0961   0.5078   0.6401
   3.500   0.8526   0.01090   0.00435  -0.0962   0.5056   0.6492
   3.750   0.8800   0.01094   0.00448  -0.0962   0.5032   0.6601
   4.250   0.9348   0.01102   0.00473  -0.0963   0.4980   0.6881
   4.500   0.9623   0.01106   0.00485  -0.0964   0.4955   0.7060
   4.750   0.9899   0.01119   0.00504  -0.0965   0.4930   0.7294
   5.000   1.0152   0.01115   0.00522  -0.0962   0.4903   0.7619
   5.250   1.0395   0.01107   0.00538  -0.0955   0.4873   0.8138
   5.500   1.0710   0.01084   0.00547  -0.0961   0.4843   1.0000
   5.750   1.0988   0.01097   0.00560  -0.0964   0.4817   1.0000
   6.000   1.1270   0.01119   0.00579  -0.0967   0.4791   1.0000
