  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 71-L-150/25 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2294   0.00840   0.00295  -0.0001   0.6940   0.5988
  -1.750  -0.2011   0.00843   0.00298   0.0000   0.6901   0.6100
  -1.500  -0.1728   0.00847   0.00303   0.0001   0.6859   0.6206
  -1.250  -0.1440   0.00849   0.00305   0.0001   0.6810   0.6298
  -1.000  -0.1153   0.00847   0.00304   0.0001   0.6763   0.6363
  -0.750  -0.0866   0.00847   0.00304   0.0001   0.6724   0.6419
  -0.500  -0.0577   0.00851   0.00303   0.0001   0.6681   0.6475
  -0.250  -0.0288   0.00847   0.00301  -0.0000   0.6625   0.6524
   0.000   0.0000   0.00844   0.00301  -0.0000   0.6572   0.6572
   0.250   0.0288   0.00847   0.00301   0.0000   0.6525   0.6625
   0.500   0.0577   0.00851   0.00303  -0.0001   0.6475   0.6680
   0.750   0.0866   0.00847   0.00304  -0.0001   0.6419   0.6723
   1.000   0.1153   0.00847   0.00304  -0.0001   0.6363   0.6763
   1.250   0.1440   0.00849   0.00305  -0.0001   0.6298   0.6810
   1.500   0.1728   0.00847   0.00303  -0.0001   0.6206   0.6859
   1.750   0.2012   0.00843   0.00298  -0.0001   0.6104   0.6901
   2.000   0.2294   0.00840   0.00295   0.0001   0.5987   0.6940
   2.250   0.2579   0.00842   0.00298   0.0001   0.5879   0.6984
   2.500   0.2861   0.00847   0.00298   0.0002   0.5757   0.7030
   2.750   0.3139   0.00853   0.00299   0.0004   0.5603   0.7074
   3.000   0.3417   0.00857   0.00304   0.0005   0.5439   0.7114
   3.250   0.3697   0.00862   0.00311   0.0007   0.5263   0.7160
   3.500   0.3976   0.00871   0.00317   0.0008   0.5071   0.7210
   3.750   0.4252   0.00881   0.00324   0.0009   0.4853   0.7254
   4.000   0.4518   0.00899   0.00335   0.0012   0.4545   0.7291
   4.250   0.4769   0.00933   0.00352   0.0016   0.4060   0.7332
   4.500   0.5008   0.00983   0.00377   0.0021   0.3454   0.7377
   4.750   0.5235   0.01046   0.00410   0.0027   0.2809   0.7418
   5.000   0.5460   0.01107   0.00447   0.0034   0.2212   0.7451
   5.250   0.5685   0.01168   0.00485   0.0040   0.1703   0.7489
   5.500   0.5908   0.01230   0.00525   0.0046   0.1261   0.7529
   5.750   0.6134   0.01290   0.00564   0.0052   0.0898   0.7570
   6.000   0.6358   0.01339   0.00602   0.0059   0.0629   0.7604
