  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 72-MS-150B AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.9051   0.01431   0.00722  -0.2475   0.6041   0.0266
  -1.750   0.9355   0.01388   0.00667  -0.2482   0.6020   0.0273
  -1.500   0.9659   0.01341   0.00624  -0.2491   0.5998   0.0290
  -1.250   0.9964   0.01312   0.00591  -0.2500   0.5977   0.0301
  -1.000   1.0269   0.01291   0.00564  -0.2507   0.5956   0.0316
  -0.750   1.0582   0.01266   0.00538  -0.2519   0.5936   0.0347
  -0.500   1.0891   0.01259   0.00525  -0.2528   0.5915   0.0400
  -0.250   1.1193   0.01259   0.00522  -0.2536   0.5893   0.0487
   0.000   1.1507   0.01230   0.00514  -0.2548   0.5872   0.1181
   0.250   1.1839   0.01181   0.00538  -0.2568   0.5851   0.4672
   0.500   1.2116   0.01193   0.00553  -0.2570   0.5832   0.5078
   0.750   1.2393   0.01207   0.00566  -0.2572   0.5814   0.5326
   1.000   1.2670   0.01222   0.00578  -0.2574   0.5798   0.5510
   1.250   1.2945   0.01240   0.00593  -0.2575   0.5782   0.5698
   1.500   1.3224   0.01260   0.00610  -0.2578   0.5767   0.5867
   1.750   1.3510   0.01284   0.00630  -0.2582   0.5750   0.5985
   2.000   1.3777   0.01296   0.00646  -0.2583   0.5737   0.6071
   2.250   1.4046   0.01309   0.00661  -0.2584   0.5723   0.6133
   2.500   1.4316   0.01323   0.00676  -0.2586   0.5708   0.6191
   2.750   1.4587   0.01336   0.00692  -0.2588   0.5693   0.6243
   3.000   1.4859   0.01351   0.00707  -0.2591   0.5679   0.6297
   3.250   1.5133   0.01365   0.00721  -0.2594   0.5665   0.6348
   3.500   1.5407   0.01380   0.00737  -0.2597   0.5652   0.6399
   3.750   1.5683   0.01396   0.00754  -0.2601   0.5639   0.6458
   4.000   1.5961   0.01413   0.00771  -0.2605   0.5627   0.6516
   4.250   1.6243   0.01435   0.00792  -0.2610   0.5613   0.6582
   4.500   1.6524   0.01461   0.00819  -0.2615   0.5598   0.6656
   4.750   1.6771   0.01476   0.00844  -0.2614   0.5585   0.6732
   5.000   1.7021   0.01493   0.00869  -0.2613   0.5571   0.6821
   5.250   1.7273   0.01511   0.00894  -0.2612   0.5556   0.6925
   5.500   1.7528   0.01529   0.00920  -0.2613   0.5541   0.7045
   5.750   1.7787   0.01547   0.00946  -0.2614   0.5528   0.7193
   6.000   1.8049   0.01564   0.00971  -0.2616   0.5515   0.7390
