  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 72-LS-160                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.6698   0.01366   0.00641  -0.1819   0.6373   0.0275
  -1.750   0.6994   0.01362   0.00635  -0.1824   0.6358   0.0329
  -1.500   0.7278   0.01348   0.00634  -0.1828   0.6345   0.0586
  -1.000   0.7837   0.01339   0.00637  -0.1834   0.6317   0.0907
  -0.750   0.8119   0.01334   0.00639  -0.1837   0.6302   0.1076
  -0.500   0.8404   0.01326   0.00640  -0.1842   0.6287   0.1381
  -0.250   0.8698   0.01305   0.00645  -0.1850   0.6273   0.2285
   0.000   0.9010   0.01255   0.00656  -0.1865   0.6259   0.4586
   0.250   0.9266   0.01186   0.00681  -0.1863   0.6246   0.8049
   0.500   0.9421   0.01184   0.00690  -0.1833   0.6233   0.8982
   0.750   0.9584   0.01185   0.00689  -0.1806   0.6221   0.9341
   1.000   0.9746   0.01187   0.00687  -0.1780   0.6208   0.9604
   1.500   1.0318   0.01208   0.00704  -0.1789   0.6179   1.0000
   1.750   1.0595   0.01223   0.00718  -0.1793   0.6163   1.0000
   2.000   1.0877   0.01238   0.00731  -0.1797   0.6147   1.0000
   2.250   1.1162   0.01250   0.00742  -0.1803   0.6130   1.0000
   2.500   1.1452   0.01260   0.00749  -0.1809   0.6114   1.0000
   2.750   1.1748   0.01268   0.00754  -0.1816   0.6099   1.0000
   3.000   1.2048   0.01277   0.00759  -0.1823   0.6086   1.0000
   3.250   1.2351   0.01287   0.00764  -0.1832   0.6074   1.0000
   3.500   1.2656   0.01300   0.00773  -0.1841   0.6062   1.0000
   3.750   1.2961   0.01323   0.00791  -0.1850   0.6048   1.0000
   4.000   1.3217   0.01344   0.00817  -0.1851   0.6032   1.0000
   4.250   1.3466   0.01363   0.00841  -0.1850   0.6013   1.0000
   4.500   1.3725   0.01379   0.00861  -0.1851   0.5993   1.0000
   4.750   1.3992   0.01395   0.00879  -0.1854   0.5975   1.0000
   5.000   1.4267   0.01409   0.00894  -0.1857   0.5959   1.0000
   5.250   1.4552   0.01419   0.00904  -0.1863   0.5945   1.0000
   5.500   1.4846   0.01426   0.00910  -0.1870   0.5930   1.0000
   5.750   1.5147   0.01434   0.00917  -0.1879   0.5917   1.0000
   6.000   1.5454   0.01451   0.00932  -0.1888   0.5903   1.0000
