  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-170                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3522   0.01181   0.00662  -0.1334   0.7171   0.6583
  -1.750   0.3806   0.01215   0.00698  -0.1333   0.7160   0.6679
  -1.500   0.4090   0.01234   0.00715  -0.1333   0.7148   0.6747
  -1.250   0.4380   0.01251   0.00730  -0.1335   0.7138   0.6794
  -1.000   0.4670   0.01266   0.00738  -0.1340   0.7125   0.6835
  -0.750   0.4914   0.01272   0.00743  -0.1336   0.7108   0.6868
  -0.500   0.5163   0.01276   0.00749  -0.1332   0.7091   0.6886
  -0.250   0.5420   0.01282   0.00756  -0.1331   0.7074   0.6902
   0.000   0.5685   0.01286   0.00760  -0.1330   0.7057   0.6922
   0.250   0.5958   0.01287   0.00760  -0.1332   0.7042   0.6940
   0.500   0.6236   0.01287   0.00757  -0.1334   0.7028   0.6957
   0.750   0.6517   0.01287   0.00753  -0.1338   0.7016   0.6973
   1.000   0.6805   0.01287   0.00750  -0.1343   0.7004   0.6989
   1.250   0.7100   0.01289   0.00748  -0.1349   0.6993   0.7004
   1.500   0.7382   0.01297   0.00752  -0.1354   0.6979   0.7014
   1.750   0.7599   0.01303   0.00765  -0.1345   0.6959   0.7024
   2.000   0.7834   0.01310   0.00776  -0.1339   0.6938   0.7033
   2.250   0.8086   0.01314   0.00783  -0.1337   0.6917   0.7045
   2.500   0.8352   0.01317   0.00788  -0.1338   0.6901   0.7057
   2.750   0.8627   0.01319   0.00790  -0.1340   0.6886   0.7068
   3.000   0.8912   0.01317   0.00789  -0.1344   0.6872   0.7079
   3.250   0.9206   0.01315   0.00788  -0.1350   0.6859   0.7089
   3.500   0.9511   0.01318   0.00789  -0.1358   0.6847   0.7100
   3.750   0.9730   0.01330   0.00808  -0.1350   0.6822   0.7114
   4.000   0.9937   0.01337   0.00821  -0.1339   0.6791   0.7128
   4.250   1.0199   0.01332   0.00818  -0.1338   0.6764   0.7141
   4.500   1.0486   0.01320   0.00807  -0.1342   0.6741   0.7152
   4.750   1.0808   0.01302   0.00787  -0.1352   0.6720   0.7162
   5.000   1.1115   0.01290   0.00777  -0.1360   0.6695   0.7172
   5.250   1.1273   0.01285   0.00783  -0.1338   0.6645   0.7183
   5.500   1.1539   0.01264   0.00766  -0.1336   0.6607   0.7194
   5.750   1.1869   0.01237   0.00738  -0.1348   0.6574   0.7205
   6.000   1.2047   0.01231   0.00741  -0.1329   0.6521   0.7218
