  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-CL1-152                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3788   0.01290   0.00482  -0.1120   0.4337   0.0690
  -1.750   0.4069   0.01282   0.00471  -0.1117   0.4313   0.0722
  -1.500   0.4345   0.01261   0.00453  -0.1114   0.4288   0.0762
  -1.000   0.4901   0.01240   0.00431  -0.1109   0.4239   0.0865
  -0.750   0.5178   0.01236   0.00426  -0.1106   0.4214   0.0938
  -0.500   0.5455   0.01239   0.00428  -0.1104   0.4189   0.1028
  -0.250   0.5733   0.01227   0.00422  -0.1101   0.4171   0.1149
   0.000   0.6011   0.01216   0.00420  -0.1098   0.4149   0.1328
   0.250   0.6287   0.01208   0.00422  -0.1096   0.4128   0.1610
   0.500   0.6564   0.01204   0.00426  -0.1094   0.4106   0.1919
   0.750   0.6841   0.01203   0.00430  -0.1091   0.4084   0.2186
   1.000   0.7116   0.01204   0.00435  -0.1088   0.4061   0.2439
   1.250   0.7391   0.01215   0.00447  -0.1086   0.4037   0.2698
   1.500   0.7666   0.01220   0.00461  -0.1084   0.4017   0.3010
   1.750   0.7938   0.01214   0.00469  -0.1081   0.4001   0.3417
   2.000   0.8208   0.01207   0.00479  -0.1077   0.3981   0.3997
   2.250   0.8469   0.01192   0.00490  -0.1073   0.3960   0.4946
   2.500   0.8697   0.01154   0.00505  -0.1062   0.3938   0.6837
   3.000   0.9376   0.01125   0.00520  -0.1082   0.3894   1.0000
   3.250   0.9652   0.01151   0.00536  -0.1080   0.3870   1.0000
   3.500   0.9926   0.01169   0.00552  -0.1077   0.3851   1.0000
   3.750   1.0199   0.01179   0.00562  -0.1074   0.3833   1.0000
   4.000   1.0471   0.01191   0.00574  -0.1071   0.3813   1.0000
   4.250   1.0743   0.01204   0.00585  -0.1069   0.3791   1.0000
   4.500   1.1014   0.01217   0.00595  -0.1066   0.3769   1.0000
   4.750   1.1284   0.01230   0.00604  -0.1063   0.3747   1.0000
   5.000   1.1553   0.01249   0.00618  -0.1060   0.3723   1.0000
   5.250   1.1822   0.01281   0.00643  -0.1058   0.3698   1.0000
   5.500   1.2086   0.01291   0.00658  -0.1054   0.3680   1.0000
   5.750   1.2350   0.01304   0.00673  -0.1050   0.3659   1.0000
   6.000   1.2614   0.01318   0.00689  -0.1047   0.3636   1.0000
