  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-K-170/22                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3674   0.01021   0.00487  -0.1350   0.7226   0.6240
  -1.750   0.3960   0.01023   0.00488  -0.1352   0.7204   0.6298
  -1.500   0.4253   0.01028   0.00486  -0.1355   0.7185   0.6362
  -1.250   0.4532   0.01032   0.00484  -0.1357   0.7163   0.6410
  -1.000   0.4779   0.01035   0.00491  -0.1351   0.7132   0.6449
  -0.750   0.5045   0.01038   0.00492  -0.1350   0.7104   0.6493
  -0.500   0.5323   0.01039   0.00487  -0.1351   0.7080   0.6537
  -0.250   0.5610   0.01035   0.00481  -0.1354   0.7058   0.6572
   0.000   0.5905   0.01036   0.00478  -0.1359   0.7039   0.6603
   0.250   0.6158   0.01040   0.00483  -0.1356   0.7011   0.6635
   0.500   0.6410   0.01043   0.00486  -0.1353   0.6980   0.6669
   0.750   0.6679   0.01042   0.00483  -0.1352   0.6953   0.6700
   1.000   0.6960   0.01039   0.00479  -0.1355   0.6929   0.6726
   1.250   0.7253   0.01037   0.00476  -0.1359   0.6906   0.6752
   1.500   0.7517   0.01042   0.00480  -0.1359   0.6880   0.6780
   1.750   0.7757   0.01045   0.00486  -0.1353   0.6846   0.6809
   2.000   0.8021   0.01046   0.00485  -0.1352   0.6814   0.6836
   2.250   0.8302   0.01041   0.00480  -0.1355   0.6787   0.6858
   2.500   0.8596   0.01041   0.00479  -0.1360   0.6762   0.6882
   2.750   0.8827   0.01046   0.00489  -0.1352   0.6727   0.6907
   3.000   0.9074   0.01048   0.00495  -0.1348   0.6691   0.6933
   3.250   0.9344   0.01049   0.00495  -0.1348   0.6659   0.6960
   3.500   0.9630   0.01052   0.00495  -0.1352   0.6631   0.6988
   3.750   0.9871   0.01055   0.00504  -0.1347   0.6595   0.7011
   4.000   1.0105   0.01059   0.00514  -0.1341   0.6557   0.7034
   4.250   1.0367   0.01059   0.00516  -0.1339   0.6517   0.7060
   4.500   1.0657   0.01064   0.00520  -0.1344   0.6486   0.7089
   4.750   1.0867   0.01072   0.00535  -0.1333   0.6443   0.7118
   5.000   1.1100   0.01077   0.00543  -0.1326   0.6400   0.7144
   5.250   1.1367   0.01078   0.00547  -0.1326   0.6361   0.7168
   5.500   1.1602   0.01086   0.00560  -0.1320   0.6316   0.7197
   5.750   1.1806   0.01092   0.00573  -0.1307   0.6263   0.7229
   6.000   1.2065   0.01095   0.00575  -0.1305   0.6209   0.7261
