  
       XFOIL         Version 6.99
  
 Calculated polar for: 74-130 WP2                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2490   0.01166   0.00542  -0.1036   0.7501   0.2449
  -1.750   0.2654   0.01011   0.00562  -0.1025   0.7486   0.7418
  -1.500   0.2901   0.01050   0.00604  -0.1015   0.7472   0.8059
  -1.250   0.3138   0.01082   0.00638  -0.1003   0.7459   0.8272
  -1.000   0.3378   0.01108   0.00662  -0.0993   0.7448   0.8419
  -0.750   0.3581   0.01137   0.00693  -0.0971   0.7437   0.8589
  -0.500   0.3798   0.01156   0.00711  -0.0955   0.7426   0.8713
  -0.250   0.4027   0.01167   0.00720  -0.0942   0.7416   0.8790
   0.000   0.4283   0.01176   0.00724  -0.0938   0.7407   0.8849
   0.250   0.4532   0.01187   0.00732  -0.0932   0.7398   0.8894
   0.500   0.4796   0.01201   0.00745  -0.0933   0.7386   0.8931
   0.750   0.5062   0.01216   0.00762  -0.0936   0.7366   0.8960
   1.000   0.5308   0.01223   0.00771  -0.0933   0.7347   0.8981
   1.250   0.5573   0.01228   0.00776  -0.0933   0.7329   0.9000
   1.500   0.5853   0.01229   0.00776  -0.0936   0.7313   0.9018
   1.750   0.6142   0.01228   0.00774  -0.0941   0.7299   0.9035
   2.000   0.6437   0.01226   0.00771  -0.0948   0.7286   0.9051
   2.250   0.6736   0.01228   0.00772  -0.0955   0.7275   0.9065
   2.500   0.7038   0.01235   0.00778  -0.0964   0.7264   0.9078
   2.750   0.7279   0.01251   0.00803  -0.0963   0.7230   0.9093
   3.000   0.7550   0.01250   0.00805  -0.0964   0.7202   0.9104
   3.250   0.7839   0.01240   0.00798  -0.0969   0.7181   0.9115
   3.500   0.8137   0.01225   0.00783  -0.0974   0.7162   0.9127
   3.750   0.8455   0.01203   0.00762  -0.0983   0.7144   0.9136
   4.000   0.8722   0.01199   0.00765  -0.0984   0.7107   0.9148
   4.250   0.9004   0.01180   0.00751  -0.0987   0.7064   0.9160
   4.500   0.9330   0.01137   0.00710  -0.0996   0.7030   0.9171
   4.750   0.9629   0.01102   0.00678  -0.1000   0.6980   0.9184
   5.000   0.9925   0.01059   0.00640  -0.1004   0.6915   0.9195
   5.250   1.0220   0.01014   0.00598  -0.1007   0.6838   0.9206
   5.500   1.0523   0.00966   0.00552  -0.1012   0.6752   0.9216
   5.750   1.0765   0.00943   0.00540  -0.1006   0.6645   0.9231
   6.000   1.1011   0.00923   0.00529  -0.1000   0.6513   0.9247
