  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 75-VG-166/22                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0302   0.01561   0.01127  -0.0489   0.7176   0.7794
  -1.750   0.0605   0.01653   0.01220  -0.0481   0.7169   0.7845
  -1.500   0.0876   0.01697   0.01259  -0.0476   0.7162   0.7925
  -1.250   0.1168   0.01764   0.01325  -0.0467   0.7156   0.7956
  -1.000   0.1339   0.01827   0.01396  -0.0448   0.7109   0.8014
  -0.750   0.1581   0.01836   0.01403  -0.0443   0.7088   0.8067
  -0.500   0.1851   0.01840   0.01405  -0.0439   0.7073   0.8083
  -0.250   0.2130   0.01840   0.01403  -0.0438   0.7062   0.8103
   0.000   0.2410   0.01835   0.01394  -0.0438   0.7053   0.8131
   0.250   0.2685   0.01819   0.01372  -0.0445   0.7044   0.8194
   0.500   0.2957   0.01810   0.01361  -0.0441   0.7037   0.8206
   0.750   0.3232   0.01803   0.01353  -0.0440   0.7030   0.8219
   1.500   0.3910   0.01816   0.01372  -0.0421   0.6941   0.8291
   1.750   0.4213   0.01795   0.01348  -0.0434   0.6930   0.8328
   2.000   0.4488   0.01768   0.01321  -0.0433   0.6921   0.8336
   2.250   0.4772   0.01744   0.01297  -0.0434   0.6912   0.8346
   2.500   0.5070   0.01717   0.01270  -0.0437   0.6904   0.8358
   3.000   0.5499   0.01722   0.01284  -0.0419   0.6829   0.8394
   3.250   0.5801   0.01690   0.01252  -0.0426   0.6811   0.8408
   3.500   0.6113   0.01656   0.01219  -0.0434   0.6799   0.8424
   3.750   0.6441   0.01620   0.01182  -0.0447   0.6788   0.8441
   4.000   0.6825   0.01551   0.01109  -0.0468   0.6774   0.8453
   4.500   0.7358   0.01470   0.01037  -0.0467   0.6683   0.8472
   4.750   0.7681   0.01409   0.00976  -0.0475   0.6655   0.8477
   5.000   0.8011   0.01356   0.00922  -0.0485   0.6632   0.8483
   5.250   0.8206   0.01348   0.00926  -0.0471   0.6569   0.8494
   5.500   0.8493   0.01309   0.00890  -0.0472   0.6519   0.8503
   5.750   0.8781   0.01278   0.00861  -0.0476   0.6476   0.8511
   6.000   0.9011   0.01260   0.00851  -0.0469   0.6384   0.8519
