  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 76-MP-140                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.6639   0.01168   0.00510  -0.1968   0.7411   0.0916
  -1.750   0.6881   0.01151   0.00501  -0.1962   0.7382   0.1008
  -1.500   0.7140   0.01137   0.00493  -0.1959   0.7354   0.1122
  -1.250   0.7413   0.01122   0.00482  -0.1959   0.7327   0.1288
  -1.000   0.7699   0.01105   0.00469  -0.1961   0.7301   0.1517
  -0.750   0.7994   0.01087   0.00457  -0.1965   0.7278   0.1828
  -0.500   0.8270   0.01075   0.00454  -0.1966   0.7252   0.2225
  -0.250   0.8504   0.01058   0.00458  -0.1958   0.7217   0.2788
   0.000   0.8758   0.01032   0.00457  -0.1956   0.7185   0.3733
   0.250   0.9002   0.00984   0.00460  -0.1951   0.7157   0.5678
   0.500   0.9235   0.00954   0.00471  -0.1940   0.7131   0.7442
   0.750   0.9483   0.00953   0.00474  -0.1932   0.7099   0.7913
   1.000   0.9697   0.00950   0.00478  -0.1918   0.7054   0.8187
   1.250   0.9940   0.00944   0.00473  -0.1909   0.7015   0.8419
   1.500   1.0196   0.00938   0.00467  -0.1902   0.6983   0.8661
   1.750   1.0429   0.00934   0.00466  -0.1892   0.6950   0.8893
   2.000   1.0632   0.00931   0.00470  -0.1875   0.6906   0.9101
   2.250   1.0889   0.00922   0.00463  -0.1871   0.6865   0.9338
   2.500   1.1335   0.00914   0.00453  -0.1908   0.6828   1.0000
   2.750   1.1591   0.00920   0.00459  -0.1905   0.6779   1.0000
   3.000   1.1847   0.00924   0.00462  -0.1902   0.6726   1.0000
   3.250   1.2131   0.00927   0.00457  -0.1904   0.6678   1.0000
   3.500   1.2363   0.00935   0.00466  -0.1897   0.6616   1.0000
   3.750   1.2613   0.00940   0.00470  -0.1892   0.6556   1.0000
   4.000   1.2871   0.00949   0.00475  -0.1889   0.6501   1.0000
   4.250   1.3095   0.00959   0.00486  -0.1880   0.6432   1.0000
   4.500   1.3349   0.00969   0.00490  -0.1876   0.6367   1.0000
   4.750   1.3551   0.00982   0.00505  -0.1862   0.6281   1.0000
   5.000   1.3769   0.00996   0.00515  -0.1852   0.6197   1.0000
   5.250   1.3968   0.01012   0.00529  -0.1837   0.6101   1.0000
   5.500   1.4153   0.01030   0.00546  -0.1820   0.6004   1.0000
   5.750   1.4313   0.01052   0.00563  -0.1798   0.5896   1.0000
   6.000   1.4473   0.01078   0.00585  -0.1777   0.5786   1.0000
