  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 77-W-153 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0433   0.01346   0.00485  -0.0189   0.4126   0.0423
  -1.750   0.0709   0.01330   0.00471  -0.0188   0.4118   0.0448
  -1.500   0.0988   0.01321   0.00461  -0.0186   0.4108   0.0469
  -1.250   0.1269   0.01313   0.00451  -0.0185   0.4097   0.0487
  -1.000   0.1544   0.01298   0.00437  -0.0184   0.4087   0.0516
  -0.750   0.1824   0.01292   0.00430  -0.0183   0.4078   0.0557
  -0.500   0.2101   0.01280   0.00421  -0.0181   0.4068   0.0623
  -0.250   0.2375   0.01264   0.00415  -0.0180   0.4058   0.0877
   0.000   0.2622   0.01211   0.00409  -0.0175   0.4047   0.2267
   0.250   0.2848   0.01143   0.00405  -0.0168   0.4034   0.4270
   0.500   0.3032   0.01066   0.00404  -0.0150   0.4020   0.6592
   0.750   0.3673   0.01029   0.00446  -0.0219   0.3997   0.9341
   1.000   0.4012   0.01059   0.00471  -0.0229   0.3985   0.9617
   1.250   0.4420   0.01077   0.00485  -0.0254   0.3976   0.9753
   1.500   0.4876   0.01093   0.00497  -0.0289   0.3965   0.9841
   1.750   0.5395   0.01107   0.00507  -0.0339   0.3949   0.9927
   2.000   0.5920   0.01108   0.00503  -0.0391   0.3927   0.9977
   2.250   0.6298   0.01112   0.00502  -0.0412   0.3908   1.0000
   2.500   0.6561   0.01118   0.00504  -0.0409   0.3892   1.0000
   2.750   0.6825   0.01127   0.00508  -0.0407   0.3878   1.0000
   3.000   0.7089   0.01139   0.00516  -0.0405   0.3866   1.0000
   3.250   0.7352   0.01157   0.00528  -0.0402   0.3852   1.0000
   3.500   0.7615   0.01180   0.00549  -0.0400   0.3835   1.0000
   3.750   0.7876   0.01186   0.00557  -0.0398   0.3824   1.0000
   4.000   0.8137   0.01195   0.00568  -0.0395   0.3810   1.0000
   4.250   0.8397   0.01204   0.00579  -0.0392   0.3794   1.0000
   4.500   0.8658   0.01214   0.00590  -0.0389   0.3777   1.0000
   4.750   0.8918   0.01224   0.00600  -0.0386   0.3761   1.0000
   5.000   0.9178   0.01234   0.00609  -0.0383   0.3744   1.0000
   5.250   0.9438   0.01245   0.00618  -0.0381   0.3728   1.0000
   5.500   0.9698   0.01259   0.00629  -0.0378   0.3711   1.0000
   5.750   0.9955   0.01287   0.00654  -0.0375   0.3689   1.0000
   6.000   1.0208   0.01291   0.00665  -0.0371   0.3669   1.0000
