  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 77-W-270                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2198   0.01741   0.01061  -0.0584   0.4309   0.6155
  -1.750   0.2531   0.01762   0.01073  -0.0597   0.4301   0.6223
  -1.250   0.3170   0.01806   0.01121  -0.0614   0.4283   0.6300
  -1.000   0.3492   0.01829   0.01143  -0.0623   0.4274   0.6343
  -0.750   0.3818   0.01854   0.01164  -0.0634   0.4264   0.6392
  -0.500   0.4138   0.01876   0.01185  -0.0643   0.4255   0.6436
  -0.250   0.4444   0.01908   0.01222  -0.0648   0.4245   0.6483
   0.000   0.4755   0.01942   0.01258  -0.0654   0.4234   0.6540
   0.250   0.5077   0.01966   0.01277  -0.0663   0.4222   0.6585
   0.500   0.5403   0.01983   0.01288  -0.0675   0.4211   0.6609
   0.750   0.5718   0.01987   0.01292  -0.0684   0.4201   0.6632
   1.000   0.6031   0.02004   0.01307  -0.0692   0.4190   0.6651
   1.250   0.6344   0.02032   0.01334  -0.0702   0.4178   0.6669
   1.500   0.6650   0.02096   0.01397  -0.0711   0.4161   0.6691
   1.750   0.6961   0.02124   0.01429  -0.0720   0.4153   0.6722
   2.000   0.7274   0.02144   0.01451  -0.0728   0.4147   0.6764
   2.250   0.7593   0.02169   0.01476  -0.0738   0.4139   0.6800
   2.500   0.7901   0.02172   0.01484  -0.0747   0.4130   0.6834
   2.750   0.8202   0.02188   0.01506  -0.0753   0.4120   0.6863
   3.000   0.8508   0.02206   0.01528  -0.0761   0.4109   0.6887
   3.250   0.8818   0.02222   0.01546  -0.0770   0.4098   0.6910
   3.500   0.9131   0.02235   0.01562  -0.0780   0.4086   0.6930
   3.750   0.9447   0.02244   0.01571  -0.0792   0.4074   0.6945
   4.000   0.9766   0.02249   0.01576  -0.0805   0.4062   0.6958
   4.250   1.0086   0.02250   0.01574  -0.0817   0.4049   0.6971
   4.500   1.0407   0.02245   0.01565  -0.0829   0.4036   0.6984
   4.750   1.0729   0.02241   0.01557  -0.0841   0.4022   0.6995
   5.000   1.1051   0.02241   0.01550  -0.0853   0.4007   0.7004
   5.250   1.1361   0.02266   0.01571  -0.0866   0.3985   0.7016
   5.500   1.1670   0.02258   0.01567  -0.0877   0.3971   0.7027
   5.750   1.1980   0.02241   0.01555  -0.0888   0.3955   0.7036
   6.000   1.2288   0.02228   0.01547  -0.0898   0.3936   0.7045
