  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 77-W-270S                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0476   0.01678   0.01030  -0.0224   0.4359   0.6559
  -1.750   0.0786   0.01733   0.01092  -0.0226   0.4349   0.6617
  -1.500   0.1096   0.01775   0.01134  -0.0230   0.4338   0.6678
  -1.250   0.1409   0.01809   0.01160  -0.0237   0.4326   0.6723
  -1.000   0.1703   0.01799   0.01152  -0.0240   0.4315   0.6752
  -0.750   0.2006   0.01811   0.01163  -0.0245   0.4305   0.6774
  -0.500   0.2311   0.01820   0.01169  -0.0252   0.4295   0.6793
  -0.250   0.2617   0.01824   0.01170  -0.0259   0.4286   0.6807
   0.000   0.2923   0.01828   0.01169  -0.0267   0.4277   0.6820
   0.250   0.3228   0.01834   0.01170  -0.0275   0.4268   0.6833
   0.500   0.3534   0.01845   0.01175  -0.0283   0.4257   0.6848
   0.750   0.3835   0.01869   0.01194  -0.0291   0.4244   0.6864
   1.000   0.4126   0.01913   0.01236  -0.0298   0.4227   0.6879
   1.250   0.4430   0.01912   0.01233  -0.0307   0.4221   0.6891
   1.500   0.4734   0.01919   0.01239  -0.0315   0.4214   0.6904
   1.750   0.5038   0.01933   0.01252  -0.0323   0.4205   0.6916
   2.000   0.5329   0.01920   0.01240  -0.0329   0.4196   0.6930
   2.250   0.5624   0.01921   0.01241  -0.0336   0.4186   0.6939
   2.500   0.5918   0.01926   0.01248  -0.0343   0.4176   0.6950
   2.750   0.6212   0.01932   0.01255  -0.0349   0.4164   0.6960
   3.000   0.6507   0.01937   0.01260  -0.0356   0.4152   0.6968
   3.250   0.6803   0.01941   0.01264  -0.0363   0.4141   0.6975
   3.500   0.7101   0.01945   0.01267  -0.0371   0.4130   0.6983
   3.750   0.7399   0.01952   0.01272  -0.0378   0.4120   0.6991
   4.000   0.7697   0.01959   0.01277  -0.0386   0.4110   0.6999
   4.250   0.7996   0.01968   0.01284  -0.0394   0.4101   0.7010
   4.500   0.8296   0.01979   0.01293  -0.0402   0.4092   0.7021
   4.750   0.8595   0.01995   0.01306  -0.0410   0.4082   0.7030
   5.000   0.8888   0.02027   0.01336  -0.0419   0.4070   0.7037
   5.250   0.9156   0.02084   0.01395  -0.0424   0.4055   0.7045
   5.500   0.9437   0.02088   0.01403  -0.0429   0.4047   0.7052
   5.750   0.9715   0.02095   0.01413  -0.0434   0.4037   0.7060
   6.000   0.9989   0.02107   0.01429  -0.0438   0.4026   0.7067
