  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 78-K-140 A/20                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1912   0.01175   0.00628  -0.0823   0.7073   0.4704
  -1.750   0.1916   0.01077   0.00644  -0.0765   0.7061   0.7643
  -1.500   0.2133   0.01105   0.00672  -0.0747   0.7052   0.8412
  -1.250   0.2384   0.01124   0.00686  -0.0738   0.7043   0.8603
  -1.000   0.2640   0.01142   0.00698  -0.0731   0.7035   0.8739
  -0.750   0.2860   0.01165   0.00719  -0.0718   0.7017   0.8831
  -0.500   0.3049   0.01194   0.00749  -0.0700   0.6990   0.8935
  -0.250   0.3288   0.01208   0.00764  -0.0689   0.6971   0.9035
   0.000   0.3498   0.01221   0.00776  -0.0670   0.6957   0.9185
   0.250   0.3750   0.01225   0.00779  -0.0661   0.6944   0.9295
   0.500   0.4032   0.01230   0.00782  -0.0655   0.6934   0.9450
   0.750   0.4583   0.01235   0.00782  -0.0711   0.6927   0.9517
   1.000   0.4951   0.01227   0.00768  -0.0732   0.6918   0.9542
   1.250   0.5184   0.01214   0.00751  -0.0724   0.6907   0.9580
   1.500   0.5428   0.01222   0.00760  -0.0721   0.6883   0.9598
   1.750   0.5707   0.01229   0.00770  -0.0727   0.6855   0.9610
   2.000   0.6014   0.01222   0.00762  -0.0736   0.6834   0.9620
   2.250   0.6317   0.01216   0.00756  -0.0745   0.6819   0.9629
   2.500   0.6629   0.01203   0.00741  -0.0755   0.6805   0.9638
   2.750   0.6937   0.01185   0.00721  -0.0763   0.6792   0.9646
   3.000   0.7240   0.01173   0.00708  -0.0771   0.6781   0.9656
   3.250   0.7457   0.01179   0.00718  -0.0763   0.6756   0.9677
   3.500   0.7558   0.01182   0.00727  -0.0730   0.6720   0.9712
   3.750   0.7859   0.01175   0.00724  -0.0738   0.6699   0.9718
   4.000   0.8163   0.01160   0.00709  -0.0747   0.6681   0.9722
   4.250   0.8477   0.01145   0.00696  -0.0757   0.6666   0.9725
   4.500   0.8809   0.01132   0.00683  -0.0771   0.6653   0.9729
   4.750   0.9062   0.01139   0.00702  -0.0771   0.6616   0.9739
   5.000   0.9328   0.01137   0.00706  -0.0772   0.6583   0.9747
   5.250   0.9622   0.01123   0.00697  -0.0779   0.6558   0.9753
   5.500   0.9930   0.01106   0.00685  -0.0787   0.6538   0.9758
   5.750   1.0224   0.01091   0.00674  -0.0793   0.6506   0.9764
   6.000   1.0498   0.01046   0.00636  -0.0793   0.6423   0.9776
