  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 79-W-660A                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1303   0.05242   0.04458   0.0306   0.6127   0.6155
  -1.750  -0.1115   0.05254   0.04471   0.0301   0.6099   0.6170
  -1.500  -0.0924   0.05265   0.04483   0.0297   0.6071   0.6185
  -1.250  -0.0733   0.05271   0.04487   0.0292   0.6044   0.6199
  -1.000  -0.0539   0.05272   0.04484   0.0286   0.6016   0.6214
  -0.750  -0.0312   0.05255   0.04462   0.0271   0.5983   0.6230
  -0.500  -0.0250   0.05287   0.04498   0.0300   0.5960   0.6247
  -0.250  -0.0174   0.05311   0.04525   0.0324   0.5934   0.6262
   0.000  -0.0090   0.05328   0.04542   0.0347   0.5904   0.6278
   0.250   0.0005   0.05339   0.04550   0.0366   0.5874   0.6293
   0.500   0.0103   0.05344   0.04551   0.0385   0.5844   0.6307
   0.750   0.0199   0.05347   0.04547   0.0404   0.5812   0.6320
   1.000   0.0322   0.05337   0.04529   0.0417   0.5776   0.6330
   1.250   0.0425   0.05341   0.04528   0.0434   0.5743   0.6338
   1.500   0.0607   0.05472   0.04668   0.0425   0.5711   0.6362
   1.750   0.0768   0.05580   0.04782   0.0422   0.5673   0.6383
   2.000   0.0918   0.05662   0.04868   0.0423   0.5637   0.6399
   2.250   0.1029   0.05741   0.04947   0.0434   0.5599   0.6415
   2.500   0.1168   0.05807   0.05012   0.0437   0.5559   0.6428
   2.750   0.1386   0.05838   0.05039   0.0422   0.5517   0.6442
   3.000   0.1314   0.06012   0.05223   0.0473   0.5485   0.6455
   3.250   0.1255   0.06188   0.05406   0.0519   0.5440   0.6468
   3.500   0.1249   0.06340   0.05561   0.0551   0.5392   0.6481
   3.750   0.1301   0.06463   0.05681   0.0569   0.5341   0.6494
   4.000   0.1458   0.06522   0.05732   0.0565   0.5288   0.6508
   4.250   0.1235   0.06814   0.06037   0.0638   0.5235   0.6519
   4.500   0.1120   0.07047   0.06273   0.0686   0.5164   0.6531
   4.750   0.1102   0.07220   0.06439   0.0714   0.5094   0.6542
   5.000   0.0986   0.07466   0.06689   0.0758   0.5015   0.6552
   5.250   0.0829   0.07744   0.06967   0.0808   0.4916   0.6560
   5.500   0.0738   0.07976   0.07191   0.0845   0.4815   0.6567
   5.750   0.0577   0.08266   0.07481   0.0893   0.4696   0.6573
   6.000   0.0645   0.08519   0.07728   0.0889   0.4597   0.6589
