  
       XFOIL         Version 6.99
  
 Calculated polar for: FX LIII-142 K 25 AIRFOIL                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2250   0.00872   0.00257  -0.0007   0.6326   0.5443
  -1.750  -0.1968   0.00874   0.00257  -0.0007   0.6281   0.5500
  -1.500  -0.1686   0.00874   0.00257  -0.0006   0.6229   0.5559
  -1.250  -0.1406   0.00879   0.00255  -0.0005   0.6183   0.5625
  -1.000  -0.1126   0.00878   0.00257  -0.0004   0.6135   0.5694
  -0.750  -0.0844   0.00878   0.00256  -0.0003   0.6085   0.5762
  -0.500  -0.0564   0.00879   0.00258  -0.0002   0.6044   0.5824
  -0.250  -0.0281   0.00881   0.00259  -0.0001   0.5995   0.5889
   0.000  -0.0000   0.00877   0.00259   0.0000   0.5940   0.5940
   0.250   0.0281   0.00880   0.00259   0.0001   0.5888   0.5995
   0.500   0.0563   0.00878   0.00258   0.0002   0.5824   0.6043
   0.750   0.0844   0.00878   0.00257   0.0003   0.5765   0.6085
   1.000   0.1125   0.00878   0.00258   0.0004   0.5697   0.6135
   1.250   0.1406   0.00879   0.00256   0.0005   0.5627   0.6183
   1.500   0.1686   0.00875   0.00257   0.0006   0.5559   0.6230
   1.750   0.1968   0.00874   0.00257   0.0007   0.5501   0.6281
   2.000   0.2250   0.00872   0.00257   0.0007   0.5441   0.6327
   2.250   0.2528   0.00864   0.00254   0.0009   0.5352   0.6372
   2.500   0.2807   0.00860   0.00252   0.0010   0.5246   0.6423
   2.750   0.3082   0.00857   0.00251   0.0012   0.5132   0.6474
   3.000   0.3355   0.00859   0.00254   0.0015   0.5021   0.6530
   3.250   0.3629   0.00863   0.00258   0.0017   0.4907   0.6592
   3.500   0.3906   0.00861   0.00264   0.0019   0.4771   0.6651
   3.750   0.4184   0.00863   0.00269   0.0020   0.4628   0.6721
   4.000   0.4456   0.00866   0.00275   0.0023   0.4462   0.6789
   4.250   0.4726   0.00877   0.00282   0.0025   0.4271   0.6871
   4.500   0.4987   0.00891   0.00294   0.0029   0.4059   0.6952
   4.750   0.5248   0.00908   0.00308   0.0033   0.3827   0.7042
   5.000   0.5503   0.00929   0.00323   0.0037   0.3527   0.7140
   5.250   0.5744   0.00958   0.00342   0.0044   0.3133   0.7242
   5.500   0.5974   0.00997   0.00366   0.0051   0.2661   0.7357
   5.750   0.6197   0.01037   0.00398   0.0059   0.2241   0.7490
   6.000   0.6412   0.01077   0.00434   0.0070   0.1866   0.7654
