  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX L V-152 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2229   0.00887   0.00299  -0.0006   0.6578   0.5890
  -1.750  -0.1941   0.00893   0.00302  -0.0007   0.6540   0.5953
  -1.500  -0.1651   0.00900   0.00304  -0.0009   0.6505   0.6011
  -1.250  -0.1361   0.00897   0.00305  -0.0011   0.6470   0.6064
  -1.000  -0.1070   0.00900   0.00309  -0.0013   0.6436   0.6116
  -0.750  -0.0778   0.00903   0.00309  -0.0015   0.6401   0.6162
  -0.500  -0.0487   0.00908   0.00308  -0.0017   0.6367   0.6202
  -0.250  -0.0198   0.00908   0.00309  -0.0019   0.6332   0.6241
   0.000   0.0093   0.00905   0.00312  -0.0021   0.6294   0.6282
   0.250   0.0384   0.00906   0.00313  -0.0023   0.6250   0.6329
   0.500   0.0676   0.00909   0.00313  -0.0025   0.6213   0.6371
   0.750   0.0965   0.00907   0.00310  -0.0027   0.6173   0.6406
   1.000   0.1254   0.00902   0.00310  -0.0028   0.6117   0.6442
   1.250   0.1543   0.00897   0.00307  -0.0030   0.6054   0.6481
   1.500   0.1833   0.00897   0.00304  -0.0031   0.6005   0.6516
   1.750   0.2123   0.00898   0.00305  -0.0034   0.5949   0.6547
   2.000   0.2411   0.00887   0.00298  -0.0035   0.5868   0.6580
   2.250   0.2695   0.00883   0.00294  -0.0035   0.5781   0.6615
   2.500   0.2982   0.00878   0.00293  -0.0036   0.5688   0.6653
   2.750   0.3268   0.00881   0.00294  -0.0037   0.5614   0.6691
   3.000   0.3559   0.00878   0.00296  -0.0039   0.5524   0.6727
   3.250   0.3843   0.00873   0.00295  -0.0040   0.5429   0.6763
   3.500   0.4130   0.00869   0.00297  -0.0041   0.5308   0.6798
   3.750   0.4417   0.00867   0.00298  -0.0042   0.5150   0.6835
   4.000   0.4699   0.00871   0.00299  -0.0042   0.4951   0.6875
   4.250   0.4973   0.00883   0.00304  -0.0042   0.4738   0.6914
   4.500   0.5249   0.00895   0.00316  -0.0042   0.4503   0.6954
   4.750   0.5519   0.00916   0.00330  -0.0041   0.4159   0.6995
   5.000   0.5765   0.00968   0.00354  -0.0039   0.3504   0.7041
   5.250   0.6006   0.01030   0.00391  -0.0037   0.2946   0.7084
   5.500   0.6239   0.01099   0.00432  -0.0034   0.2258   0.7130
   5.750   0.6479   0.01162   0.00473  -0.0033   0.1770   0.7182
