  
       XFOIL         Version 6.99
  
 Calculated polar for: FX S 02/1-158 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2180   0.00993   0.00294  -0.0899   0.4932   0.4625
  -1.750   0.2470   0.01002   0.00296  -0.0900   0.4904   0.4725
  -1.500   0.2756   0.01008   0.00302  -0.0901   0.4880   0.4792
  -1.250   0.3044   0.01020   0.00304  -0.0903   0.4857   0.4862
  -1.000   0.3328   0.01030   0.00311  -0.0903   0.4835   0.4926
  -0.750   0.3615   0.01050   0.00321  -0.0905   0.4812   0.5000
  -0.500   0.3898   0.01055   0.00332  -0.0905   0.4791   0.5081
  -0.250   0.4183   0.01066   0.00343  -0.0906   0.4768   0.5169
   0.000   0.4468   0.01072   0.00348  -0.0907   0.4745   0.5207
   0.250   0.4753   0.01077   0.00349  -0.0908   0.4721   0.5231
   0.500   0.5039   0.01085   0.00352  -0.0910   0.4699   0.5254
   0.750   0.5324   0.01098   0.00358  -0.0912   0.4673   0.5274
   1.000   0.5608   0.01095   0.00359  -0.0913   0.4651   0.5293
   1.250   0.5891   0.01096   0.00364  -0.0914   0.4627   0.5315
   1.500   0.6174   0.01100   0.00368  -0.0916   0.4602   0.5341
   1.750   0.6457   0.01105   0.00372  -0.0917   0.4576   0.5369
   2.000   0.6741   0.01117   0.00379  -0.0918   0.4555   0.5401
   2.250   0.7023   0.01124   0.00388  -0.0920   0.4534   0.5436
   2.500   0.7304   0.01127   0.00398  -0.0921   0.4514   0.5470
   2.750   0.7586   0.01131   0.00406  -0.0922   0.4491   0.5503
   3.000   0.7866   0.01130   0.00405  -0.0923   0.4453   0.5528
   3.250   0.8144   0.01134   0.00404  -0.0923   0.4407   0.5552
   3.500   0.8421   0.01124   0.00404  -0.0923   0.4361   0.5577
   3.750   0.8699   0.01124   0.00409  -0.0924   0.4326   0.5607
   4.000   0.8977   0.01129   0.00416  -0.0925   0.4297   0.5641
   4.250   0.9254   0.01139   0.00425  -0.0925   0.4272   0.5674
   4.500   0.9532   0.01140   0.00435  -0.0926   0.4242   0.5710
   4.750   0.9808   0.01143   0.00446  -0.0927   0.4209   0.5745
   5.000   1.0083   0.01148   0.00456  -0.0927   0.4175   0.5785
   5.250   1.0354   0.01159   0.00465  -0.0927   0.4137   0.5822
   5.500   1.0626   0.01153   0.00469  -0.0927   0.4055   0.5855
   5.750   1.0892   0.01151   0.00470  -0.0925   0.3922   0.5893
   6.000   1.1160   0.01156   0.00479  -0.0925   0.3792   0.5936
