  
       XFOIL         Version 6.99
  
 Calculated polar for: GIII BL0 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2177   0.00625   0.00235   0.0095   0.9073   0.7665
  -1.750  -0.1928   0.00612   0.00229   0.0106   0.8972   0.7983
  -1.500  -0.1675   0.00606   0.00227   0.0115   0.8863   0.8249
  -1.250  -0.1417   0.00603   0.00225   0.0124   0.8745   0.8468
  -1.000  -0.1150   0.00604   0.00225   0.0130   0.8619   0.8643
  -0.750  -0.0882   0.00607   0.00225   0.0136   0.8477   0.8796
  -0.500  -0.0612   0.00612   0.00226   0.0142   0.8317   0.8929
  -0.250  -0.0340   0.00621   0.00229   0.0147   0.8130   0.9046
   0.000  -0.0071   0.00631   0.00233   0.0153   0.7906   0.9154
   0.250   0.0183   0.00643   0.00237   0.0162   0.7617   0.9258
   0.500   0.0497   0.00667   0.00244   0.0159   0.7205   0.9315
   0.750   0.0748   0.00695   0.00253   0.0168   0.6814   0.9405
   1.000   0.1096   0.00726   0.00268   0.0155   0.6468   0.9442
   1.250   0.1408   0.00749   0.00278   0.0149   0.6170   0.9488
   1.500   0.1690   0.00768   0.00285   0.0148   0.5901   0.9540
   1.750   0.2056   0.00790   0.00294   0.0129   0.5606   0.9558
   2.000   0.2413   0.00812   0.00303   0.0111   0.5300   0.9581
   2.250   0.2735   0.00832   0.00312   0.0100   0.4985   0.9619
   2.500   0.3031   0.00854   0.00320   0.0095   0.4619   0.9662
   2.750   0.3384   0.00888   0.00329   0.0076   0.3951   0.9680
   3.000   0.3704   0.00949   0.00347   0.0062   0.2969   0.9706
   3.250   0.3995   0.00998   0.00368   0.0055   0.2453   0.9746
   3.500   0.4321   0.01027   0.00386   0.0042   0.2271   0.9773
   4.000   0.5022   0.01069   0.00422   0.0007   0.2092   0.9816
   4.250   0.5334   0.01095   0.00444  -0.0003   0.2032   0.9850
   4.500   0.5675   0.01111   0.00463  -0.0019   0.1989   0.9871
   4.750   0.6028   0.01127   0.00482  -0.0038   0.1951   0.9889
   5.000   0.6367   0.01150   0.00504  -0.0053   0.1911   0.9911
   5.250   0.6695   0.01169   0.00526  -0.0067   0.1855   0.9935
   5.500   0.7033   0.01181   0.00539  -0.0083   0.1783   0.9955
   5.750   0.7380   0.01195   0.00555  -0.0101   0.1714   0.9972
   6.000   0.7723   0.01206   0.00567  -0.0118   0.1635   0.9991
