  
       XFOIL         Version 6.99
  
 Calculated polar for: GIII BL126 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1342   0.00620   0.00184  -0.0130   0.8444   0.7017
  -1.750  -0.1103   0.00607   0.00186  -0.0119   0.8383   0.7683
  -1.500  -0.0850   0.00603   0.00187  -0.0111   0.8318   0.8035
  -1.250  -0.0593   0.00602   0.00186  -0.0104   0.8258   0.8278
  -1.000  -0.0330   0.00602   0.00186  -0.0099   0.8198   0.8459
  -0.750  -0.0071   0.00604   0.00186  -0.0093   0.8131   0.8639
  -0.500   0.0189   0.00605   0.00187  -0.0086   0.8053   0.8786
   0.000   0.0704   0.00610   0.00189  -0.0072   0.7892   0.9069
   0.250   0.0960   0.00615   0.00193  -0.0064   0.7815   0.9212
   0.500   0.1206   0.00622   0.00200  -0.0052   0.7731   0.9391
   0.750   0.1484   0.00628   0.00206  -0.0049   0.7646   0.9512
   1.000   0.1783   0.00633   0.00206  -0.0052   0.7575   0.9574
   1.250   0.2100   0.00634   0.00208  -0.0061   0.7491   0.9627
   1.500   0.2416   0.00637   0.00210  -0.0069   0.7414   0.9683
   1.750   0.2761   0.00640   0.00211  -0.0084   0.7331   0.9720
   2.000   0.3087   0.00641   0.00214  -0.0094   0.7237   0.9776
   2.250   0.3459   0.00642   0.00217  -0.0116   0.7135   0.9799
   2.500   0.3818   0.00643   0.00218  -0.0134   0.7008   0.9833
   2.750   0.4160   0.00644   0.00216  -0.0148   0.6799   0.9875
   3.000   0.4521   0.00648   0.00216  -0.0167   0.6517   0.9906
   3.250   0.4870   0.00657   0.00220  -0.0184   0.6238   0.9946
   3.500   0.5225   0.00673   0.00224  -0.0203   0.5792   0.9975
   3.750   0.5540   0.00714   0.00232  -0.0215   0.4884   1.0000
   4.000   0.5741   0.00786   0.00256  -0.0205   0.3745   1.0000
   4.250   0.5944   0.00847   0.00284  -0.0196   0.2983   1.0000
   4.500   0.6146   0.00903   0.00311  -0.0186   0.2284   1.0000
   4.750   0.6332   0.00977   0.00347  -0.0173   0.1438   1.0000
   5.000   0.6508   0.01063   0.00396  -0.0159   0.0706   1.0000
   5.250   0.6698   0.01137   0.00456  -0.0144   0.0408   1.0000
   5.500   0.6895   0.01204   0.00523  -0.0130   0.0314   1.0000
   5.750   0.7113   0.01246   0.00572  -0.0119   0.0286   1.0000
   6.000   0.7328   0.01293   0.00621  -0.0109   0.0251   1.0000
