  
       XFOIL         Version 6.99
  
 Calculated polar for: GIII BL207 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0777   0.00870   0.00221  -0.0248   0.9018   0.0742
  -1.750  -0.0535   0.00817   0.00198  -0.0242   0.8921   0.1487
  -1.500  -0.0432   0.00606   0.00172  -0.0216   0.8816   0.6784
  -1.250  -0.0206   0.00585   0.00174  -0.0201   0.8726   0.7674
  -1.000   0.0036   0.00578   0.00171  -0.0190   0.8623   0.8055
  -0.750   0.0280   0.00573   0.00168  -0.0179   0.8505   0.8350
  -0.500   0.0521   0.00570   0.00169  -0.0167   0.8393   0.8641
  -0.250   0.0757   0.00569   0.00173  -0.0153   0.8298   0.8933
   0.000   0.0993   0.00573   0.00178  -0.0139   0.8212   0.9179
   0.250   0.1248   0.00577   0.00181  -0.0130   0.8117   0.9341
   0.500   0.1525   0.00581   0.00182  -0.0127   0.8022   0.9449
   0.750   0.1814   0.00587   0.00184  -0.0127   0.7932   0.9567
   1.000   0.2128   0.00592   0.00185  -0.0134   0.7840   0.9647
   1.250   0.2463   0.00595   0.00187  -0.0147   0.7740   0.9702
   1.500   0.2795   0.00599   0.00189  -0.0158   0.7640   0.9765
   1.750   0.3160   0.00603   0.00190  -0.0178   0.7536   0.9802
   2.000   0.3520   0.00607   0.00192  -0.0196   0.7420   0.9846
   2.250   0.3880   0.00609   0.00192  -0.0215   0.7212   0.9887
   2.500   0.4236   0.00616   0.00189  -0.0232   0.6902   0.9930
   2.750   0.4597   0.00623   0.00190  -0.0251   0.6607   0.9969
   3.000   0.4936   0.00637   0.00193  -0.0266   0.6230   1.0000
   3.250   0.5174   0.00651   0.00198  -0.0260   0.5878   1.0000
   3.500   0.5399   0.00679   0.00205  -0.0252   0.5239   1.0000
   3.750   0.5597   0.00742   0.00223  -0.0240   0.4200   1.0000
   4.000   0.5799   0.00804   0.00250  -0.0229   0.3354   1.0000
   4.250   0.5997   0.00873   0.00279  -0.0218   0.2444   1.0000
   4.500   0.6179   0.00963   0.00319  -0.0205   0.1370   1.0000
   4.750   0.6374   0.01040   0.00364  -0.0193   0.0762   1.0000
   5.000   0.6589   0.01093   0.00408  -0.0183   0.0546   1.0000
   5.250   0.6810   0.01143   0.00457  -0.0173   0.0441   1.0000
   5.500   0.7025   0.01205   0.00519  -0.0162   0.0368   1.0000
   5.750   0.7250   0.01257   0.00578  -0.0152   0.0337   1.0000
   6.000   0.7481   0.01303   0.00629  -0.0145   0.0304   1.0000
