  
       XFOIL         Version 6.99
  
 Calculated polar for: GIII BL332 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0591   0.00971   0.00336  -0.0276   0.9243   0.0422
  -1.750  -0.0341   0.00941   0.00305  -0.0268   0.9129   0.0449
  -1.500  -0.0088   0.00914   0.00275  -0.0261   0.9010   0.0470
  -1.250   0.0170   0.00894   0.00251  -0.0254   0.8896   0.0493
  -1.000   0.0427   0.00867   0.00219  -0.0248   0.8789   0.0529
  -0.750   0.0689   0.00849   0.00198  -0.0243   0.8683   0.0581
  -0.500   0.0951   0.00828   0.00180  -0.0237   0.8563   0.0755
   0.000   0.1214   0.00560   0.00176  -0.0176   0.8301   0.8689
   0.250   0.1453   0.00558   0.00178  -0.0161   0.8172   0.9027
   0.500   0.1706   0.00561   0.00180  -0.0151   0.8043   0.9274
   0.750   0.1987   0.00566   0.00183  -0.0146   0.7908   0.9471
   1.000   0.2292   0.00575   0.00186  -0.0147   0.7756   0.9656
   1.250   0.2658   0.00586   0.00189  -0.0163   0.7578   0.9770
   1.500   0.3070   0.00595   0.00191  -0.0190   0.7392   0.9833
   1.750   0.3427   0.00603   0.00188  -0.0207   0.7137   0.9879
   2.000   0.3788   0.00613   0.00185  -0.0225   0.6767   0.9920
   2.250   0.4148   0.00625   0.00185  -0.0243   0.6443   0.9962
   2.500   0.4515   0.00640   0.00186  -0.0264   0.6044   0.9999
   2.750   0.4756   0.00658   0.00188  -0.0258   0.5631   1.0000
   3.000   0.4991   0.00680   0.00193  -0.0251   0.5216   1.0000
   3.250   0.5222   0.00708   0.00203  -0.0244   0.4792   1.0000
   3.500   0.5454   0.00737   0.00215  -0.0236   0.4374   1.0000
   3.750   0.5682   0.00769   0.00228  -0.0228   0.3863   1.0000
   4.000   0.5902   0.00813   0.00246  -0.0219   0.3266   1.0000
   4.250   0.6116   0.00865   0.00270  -0.0209   0.2629   1.0000
   4.500   0.6332   0.00919   0.00297  -0.0200   0.2024   1.0000
   4.750   0.6543   0.00979   0.00328  -0.0190   0.1461   1.0000
   5.000   0.6762   0.01033   0.00362  -0.0181   0.1082   1.0000
   5.250   0.6988   0.01080   0.00397  -0.0172   0.0877   1.0000
   5.500   0.7219   0.01123   0.00434  -0.0164   0.0752   1.0000
   5.750   0.7456   0.01161   0.00470  -0.0158   0.0662   1.0000
   6.000   0.7696   0.01199   0.00510  -0.0151   0.0588   1.0000
