  
       XFOIL         Version 6.99
  
 Calculated polar for: GIII BL369 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0532   0.01029   0.00403  -0.0276   0.9258   0.0402
  -1.750  -0.0276   0.00999   0.00370  -0.0269   0.9138   0.0421
  -1.500  -0.0017   0.00977   0.00345  -0.0262   0.9018   0.0432
  -1.250   0.0224   0.00918   0.00281  -0.0253   0.8894   0.0453
  -1.000   0.0478   0.00890   0.00252  -0.0245   0.8759   0.0479
  -0.750   0.0737   0.00872   0.00230  -0.0239   0.8617   0.0509
  -0.500   0.1000   0.00857   0.00210  -0.0233   0.8476   0.0534
  -0.250   0.1262   0.00838   0.00188  -0.0227   0.8333   0.0597
   0.000   0.1500   0.00769   0.00169  -0.0220   0.8181   0.2309
   0.250   0.1562   0.00567   0.00170  -0.0176   0.8026   0.8390
   0.500   0.1780   0.00560   0.00175  -0.0155   0.7847   0.9012
   0.750   0.2034   0.00566   0.00178  -0.0143   0.7654   0.9356
   1.000   0.2342   0.00576   0.00182  -0.0144   0.7459   0.9579
   1.250   0.2699   0.00588   0.00186  -0.0156   0.7257   0.9754
   1.500   0.3112   0.00602   0.00188  -0.0183   0.6968   0.9841
   1.750   0.3540   0.00617   0.00187  -0.0214   0.6587   0.9913
   2.000   0.3921   0.00633   0.00185  -0.0237   0.6197   0.9964
   2.250   0.4285   0.00649   0.00186  -0.0256   0.5820   1.0000
   2.500   0.4527   0.00666   0.00188  -0.0251   0.5475   1.0000
   2.750   0.4768   0.00685   0.00192  -0.0244   0.5135   1.0000
   3.000   0.5003   0.00709   0.00200  -0.0237   0.4765   1.0000
   3.250   0.5240   0.00733   0.00209  -0.0230   0.4406   1.0000
   3.500   0.5477   0.00757   0.00219  -0.0223   0.4033   1.0000
   3.750   0.5707   0.00790   0.00231  -0.0215   0.3507   1.0000
   4.000   0.5929   0.00836   0.00250  -0.0206   0.2924   1.0000
   4.250   0.6152   0.00883   0.00273  -0.0197   0.2396   1.0000
   4.500   0.6376   0.00929   0.00297  -0.0189   0.1940   1.0000
   4.750   0.6601   0.00975   0.00325  -0.0180   0.1555   1.0000
   5.000   0.6828   0.01021   0.00354  -0.0172   0.1232   1.0000
   5.250   0.7060   0.01064   0.00385  -0.0165   0.1008   1.0000
   5.500   0.7294   0.01109   0.00420  -0.0157   0.0850   1.0000
   5.750   0.7531   0.01151   0.00458  -0.0150   0.0739   1.0000
   6.000   0.7770   0.01192   0.00498  -0.0144   0.0661   1.0000
