  
       XFOIL         Version 6.99
  
 Calculated polar for: GIII BL450 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0632   0.01858   0.01303  -0.0181   0.8344   0.0495
  -1.750  -0.0379   0.01761   0.01198  -0.0176   0.8166   0.0507
  -1.500  -0.0096   0.01837   0.01235  -0.0163   0.7969   0.0550
  -1.250   0.0148   0.01588   0.00986  -0.0160   0.7771   0.0568
  -1.000   0.0412   0.01524   0.00915  -0.0155   0.7525   0.0595
  -0.750   0.0679   0.01458   0.00825  -0.0148   0.7251   0.0647
  -0.250   0.1234   0.01196   0.00506  -0.0127   0.6696   0.0482
   0.000   0.1495   0.01132   0.00431  -0.0121   0.6441   0.0491
   0.250   0.1759   0.01101   0.00397  -0.0117   0.6185   0.0508
   0.750   0.2294   0.01059   0.00338  -0.0108   0.5759   0.0540
   1.000   0.2563   0.01038   0.00310  -0.0104   0.5581   0.0555
   1.250   0.2828   0.01010   0.00283  -0.0100   0.5418   0.0581
   1.500   0.3099   0.00999   0.00268  -0.0097   0.5257   0.0604
   1.750   0.3372   0.00993   0.00256  -0.0094   0.5098   0.0625
   2.000   0.3641   0.00975   0.00237  -0.0091   0.4931   0.0660
   2.250   0.3914   0.00972   0.00230  -0.0088   0.4741   0.0696
   2.500   0.4187   0.00971   0.00223  -0.0086   0.4529   0.0731
   3.000   0.4732   0.00976   0.00218  -0.0081   0.4046   0.0865
   3.250   0.4999   0.00982   0.00220  -0.0078   0.3673   0.1266
   3.500   0.5413   0.00809   0.00239  -0.0111   0.2921   1.0000
   3.750   0.5656   0.00851   0.00257  -0.0105   0.2520   1.0000
   4.250   0.6156   0.00915   0.00294  -0.0094   0.2084   1.0000
   4.500   0.6410   0.00942   0.00312  -0.0089   0.1917   1.0000
   4.750   0.6666   0.00969   0.00331  -0.0084   0.1756   1.0000
   5.000   0.6923   0.00998   0.00350  -0.0080   0.1603   1.0000
   5.250   0.7179   0.01027   0.00372  -0.0076   0.1460   1.0000
   5.500   0.7436   0.01059   0.00396  -0.0072   0.1329   1.0000
   5.750   0.7691   0.01093   0.00422  -0.0068   0.1213   1.0000
   6.000   0.7944   0.01132   0.00452  -0.0064   0.1106   1.0000
