  
       XFOIL         Version 6.99
  
 Calculated polar for: GM15 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3585   0.00753   0.00219  -0.1394   0.9321   0.1841
  -1.750   0.3916   0.00740   0.00209  -0.1404   0.9265   0.2155
  -1.500   0.4172   0.00731   0.00204  -0.1396   0.9173   0.2399
  -1.250   0.4448   0.00723   0.00197  -0.1393   0.9088   0.2631
  -1.000   0.4738   0.00714   0.00188  -0.1393   0.9005   0.2857
  -0.750   0.4995   0.00705   0.00181  -0.1385   0.8892   0.3031
  -0.500   0.5259   0.00697   0.00174  -0.1380   0.8770   0.3202
  -0.250   0.5527   0.00690   0.00166  -0.1375   0.8635   0.3380
   0.000   0.5795   0.00683   0.00159  -0.1369   0.8481   0.3563
   0.250   0.6056   0.00679   0.00155  -0.1363   0.8290   0.3763
   0.500   0.6319   0.00677   0.00151  -0.1357   0.8083   0.3980
   0.750   0.6576   0.00679   0.00150  -0.1350   0.7847   0.4227
   1.000   0.6827   0.00683   0.00152  -0.1342   0.7596   0.4524
   1.250   0.7072   0.00687   0.00157  -0.1333   0.7344   0.4940
   1.500   0.7307   0.00681   0.00166  -0.1323   0.7108   0.5840
   1.750   0.7623   0.00623   0.00174  -0.1331   0.6881   1.0000
   2.000   0.7870   0.00643   0.00182  -0.1322   0.6666   1.0000
   2.250   0.8120   0.00661   0.00191  -0.1315   0.6468   1.0000
   2.500   0.8370   0.00680   0.00201  -0.1308   0.6280   1.0000
   2.750   0.8620   0.00699   0.00214  -0.1300   0.6096   1.0000
   3.000   0.8870   0.00719   0.00227  -0.1293   0.5906   1.0000
   3.250   0.9118   0.00739   0.00241  -0.1286   0.5726   1.0000
   3.500   0.9368   0.00758   0.00256  -0.1279   0.5539   1.0000
   3.750   0.9615   0.00780   0.00272  -0.1271   0.5350   1.0000
   4.000   0.9861   0.00802   0.00292  -0.1264   0.5140   1.0000
   4.250   1.0089   0.00835   0.00310  -0.1253   0.4784   1.0000
   4.500   1.0302   0.00880   0.00332  -0.1240   0.4278   1.0000
   4.750   1.0522   0.00925   0.00358  -0.1229   0.3817   1.0000
   5.000   1.0748   0.00970   0.00386  -0.1219   0.3435   1.0000
   5.250   1.0962   0.01026   0.00423  -0.1207   0.2955   1.0000
   5.500   1.1163   0.01101   0.00467  -0.1194   0.2343   1.0000
   5.750   1.1323   0.01225   0.00536  -0.1176   0.1350   1.0000
   6.000   1.1441   0.01406   0.00654  -0.1150   0.0341   1.0000
