  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 100 (SOPWITH) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1896   0.00864   0.00271  -0.0826   0.9310   0.0597
  -1.750   0.2175   0.00844   0.00248  -0.0825   0.9224   0.0692
  -1.500   0.2447   0.00824   0.00226  -0.0822   0.9120   0.0781
  -1.250   0.2718   0.00807   0.00206  -0.0818   0.9006   0.0882
  -1.000   0.2988   0.00789   0.00192  -0.0814   0.8896   0.1113
  -0.750   0.3259   0.00776   0.00187  -0.0811   0.8797   0.1636
  -0.500   0.3530   0.00767   0.00179  -0.0809   0.8693   0.1884
  -0.250   0.3799   0.00757   0.00172  -0.0806   0.8577   0.2117
   0.000   0.4066   0.00740   0.00167  -0.0803   0.8451   0.2606
   0.250   0.4238   0.00582   0.00174  -0.0784   0.8326   0.8463
   0.500   0.4624   0.00560   0.00165  -0.0802   0.8167   1.0000
   0.750   0.4882   0.00565   0.00160  -0.0796   0.7971   1.0000
   1.000   0.5138   0.00573   0.00156  -0.0790   0.7736   1.0000
   1.250   0.5391   0.00584   0.00153  -0.0783   0.7406   1.0000
   1.500   0.5635   0.00604   0.00151  -0.0774   0.6932   1.0000
   1.750   0.5861   0.00641   0.00154  -0.0762   0.6237   1.0000
   2.000   0.6087   0.00687   0.00167  -0.0752   0.5566   1.0000
   2.250   0.6324   0.00728   0.00182  -0.0745   0.5039   1.0000
   2.500   0.6567   0.00766   0.00198  -0.0739   0.4555   1.0000
   2.750   0.6810   0.00806   0.00216  -0.0733   0.4049   1.0000
   3.000   0.7039   0.00862   0.00238  -0.0726   0.3373   1.0000
   3.250   0.7282   0.00906   0.00259  -0.0721   0.2924   1.0000
   3.500   0.7521   0.00955   0.00281  -0.0716   0.2403   1.0000
   3.750   0.7745   0.01026   0.00310  -0.0710   0.1704   1.0000
   4.250   0.8169   0.01218   0.00430  -0.0689   0.0165   1.0000
   4.500   0.8424   0.01256   0.00480  -0.0684   0.0143   1.0000
   4.750   0.8674   0.01304   0.00544  -0.0678   0.0131   1.0000
   5.000   0.8918   0.01364   0.00616  -0.0670   0.0129   1.0000
   5.250   0.9151   0.01439   0.00700  -0.0660   0.0126   1.0000
   5.500   0.9370   0.01532   0.00802  -0.0649   0.0117   1.0000
   5.750   0.9590   0.01624   0.00904  -0.0635   0.0145   1.0000
