  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 10K AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1662   0.01048   0.00429  -0.0195   0.9967   0.0129
  -1.750  -0.1352   0.00963   0.00332  -0.0200   0.9953   0.0162
  -1.500  -0.1046   0.00909   0.00270  -0.0205   0.9932   0.0294
  -1.250  -0.0739   0.00859   0.00255  -0.0214   0.9911   0.1279
  -1.000  -0.0509   0.00706   0.00266  -0.0214   0.9891   0.6092
  -0.500   0.0374   0.00613   0.00258  -0.0287   0.9915   1.0000
  -0.250   0.0788   0.00620   0.00258  -0.0318   0.9886   1.0000
   0.000   0.1217   0.00614   0.00246  -0.0352   0.9834   1.0000
   0.250   0.1668   0.00610   0.00240  -0.0391   0.9799   1.0000
   0.500   0.2036   0.00601   0.00231  -0.0411   0.9742   1.0000
   0.750   0.2454   0.00592   0.00224  -0.0442   0.9705   1.0000
   1.000   0.2898   0.00563   0.00202  -0.0476   0.9609   1.0000
   1.250   0.3345   0.00528   0.00174  -0.0510   0.9477   1.0000
   1.500   0.3842   0.00500   0.00154  -0.0556   0.9273   1.0000
   1.750   0.4418   0.00495   0.00129  -0.0615   0.8206   1.0000
   2.000   0.4363   0.00686   0.00148  -0.0541   0.4160   1.0000
   2.250   0.4463   0.00847   0.00187  -0.0511   0.1057   1.0000
   2.500   0.4657   0.00935   0.00240  -0.0492   0.0183   1.0000
   2.750   0.4873   0.01004   0.00320  -0.0476   0.0137   1.0000
   3.000   0.5072   0.01099   0.00420  -0.0458   0.0111   1.0000
   3.250   0.5278   0.01206   0.00536  -0.0439   0.0109   1.0000
   3.500   0.5486   0.01404   0.00743  -0.0420   0.0116   1.0000
