  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 114 (MVA MK.1) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1744   0.00799   0.00201  -0.0983   0.8207   0.3267
  -1.750   0.2018   0.00815   0.00210  -0.0983   0.8141   0.3474
  -1.500   0.2292   0.00821   0.00209  -0.0982   0.8077   0.3560
  -1.250   0.2564   0.00819   0.00200  -0.0981   0.8010   0.3592
  -1.000   0.2835   0.00814   0.00192  -0.0981   0.7946   0.3631
  -0.750   0.3106   0.00813   0.00188  -0.0980   0.7876   0.3671
  -0.500   0.3377   0.00813   0.00182  -0.0979   0.7802   0.3707
  -0.250   0.3644   0.00807   0.00178  -0.0978   0.7719   0.3741
   0.000   0.3913   0.00806   0.00176  -0.0976   0.7642   0.3780
   0.250   0.4182   0.00806   0.00176  -0.0975   0.7563   0.3829
   0.500   0.4451   0.00804   0.00177  -0.0974   0.7490   0.3871
   0.750   0.4720   0.00802   0.00179  -0.0973   0.7413   0.3918
   1.000   0.4976   0.00802   0.00177  -0.0968   0.7253   0.3971
   1.250   0.5223   0.00798   0.00175  -0.0962   0.7030   0.4022
   1.500   0.5450   0.00805   0.00173  -0.0950   0.6612   0.4069
   1.750   0.5539   0.00903   0.00185  -0.0912   0.4834   0.4110
   2.000   0.5484   0.01201   0.00294  -0.0859   0.0214   0.4139
   2.250   0.5734   0.01222   0.00335  -0.0852   0.0165   0.4197
   2.500   0.5967   0.01264   0.00395  -0.0843   0.0127   0.4260
   2.750   0.6188   0.01313   0.00460  -0.0830   0.0128   0.4332
   3.000   0.6407   0.01366   0.00529  -0.0816   0.0157   0.4423
   3.250   0.6625   0.01418   0.00599  -0.0799   0.0246   0.4542
