  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 11K AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0257   0.01167   0.00519  -0.0678   0.9232   0.0804
  -1.750   0.0557   0.01133   0.00485  -0.0683   0.9217   0.0826
  -1.500   0.0895   0.01099   0.00452  -0.0696   0.9204   0.0855
  -1.250   0.1249   0.01067   0.00421  -0.0712   0.9195   0.0886
  -1.000   0.1610   0.01038   0.00391  -0.0730   0.9187   0.0920
  -0.750   0.1958   0.01004   0.00368  -0.0745   0.9181   0.1105
  -0.500   0.2258   0.00897   0.00353  -0.0755   0.9173   0.3875
  -0.250   0.2583   0.00750   0.00377  -0.0768   0.9149   0.8981
   0.000   0.4127   0.00756   0.00388  -0.1056   0.9242   1.0000
   0.250   0.4543   0.00729   0.00359  -0.1086   0.9215   1.0000
   0.500   0.4976   0.00710   0.00339  -0.1120   0.9198   1.0000
   0.750   0.5432   0.00683   0.00312  -0.1159   0.9161   1.0000
   1.000   0.5745   0.00663   0.00292  -0.1164   0.9065   1.0000
   1.250   0.6107   0.00644   0.00272  -0.1180   0.8945   1.0000
   1.500   0.6449   0.00630   0.00254  -0.1192   0.8783   1.0000
   1.750   0.6741   0.00624   0.00245  -0.1193   0.8597   1.0000
   2.000   0.6958   0.00625   0.00246  -0.1177   0.8435   1.0000
   2.250   0.7187   0.00627   0.00243  -0.1164   0.8196   1.0000
   2.500   0.7379   0.00635   0.00243  -0.1142   0.7824   1.0000
   2.750   0.7484   0.00669   0.00242  -0.1100   0.7021   1.0000
   3.000   0.7284   0.00784   0.00269  -0.0993   0.5197   1.0000
   3.250   0.7266   0.00878   0.00309  -0.0930   0.4075   1.0000
   3.500   0.7326   0.00956   0.00340  -0.0885   0.2980   1.0000
   3.750   0.7353   0.01073   0.00385  -0.0836   0.1502   1.0000
   4.000   0.7502   0.01131   0.00418  -0.0810   0.1056   1.0000
   4.250   0.7686   0.01166   0.00447  -0.0791   0.0927   1.0000
   4.500   0.7877   0.01197   0.00477  -0.0773   0.0851   1.0000
   4.750   0.8073   0.01225   0.00507  -0.0756   0.0790   1.0000
   5.000   0.8257   0.01263   0.00543  -0.0737   0.0728   1.0000
   5.250   0.8460   0.01284   0.00568  -0.0722   0.0669   1.0000
   5.500   0.8656   0.01309   0.00595  -0.0706   0.0585   1.0000
   5.750   0.8853   0.01335   0.00614  -0.0690   0.0387   1.0000
   6.000   0.9009   0.01404   0.00672  -0.0664   0.0241   1.0000
