  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 121 (MVA H.1) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2896   0.00973   0.00362  -0.1107   0.8376   0.0434
  -1.750   0.3168   0.00922   0.00300  -0.1104   0.8216   0.0441
  -1.500   0.3439   0.00887   0.00255  -0.1100   0.8043   0.0449
  -1.250   0.3710   0.00864   0.00223  -0.1096   0.7863   0.0459
  -1.000   0.3983   0.00850   0.00200  -0.1092   0.7691   0.0471
  -0.750   0.4256   0.00840   0.00184  -0.1089   0.7544   0.0493
  -0.500   0.4530   0.00834   0.00170  -0.1086   0.7398   0.0519
  -0.250   0.4804   0.00829   0.00160  -0.1083   0.7250   0.0571
   0.000   0.5076   0.00832   0.00171  -0.1079   0.7086   0.0923
   0.250   0.5345   0.00846   0.00178  -0.1075   0.6903   0.1057
   0.500   0.5617   0.00856   0.00181  -0.1072   0.6698   0.1128
   0.750   0.5886   0.00853   0.00175  -0.1069   0.6427   0.1198
   1.000   0.6141   0.00869   0.00172  -0.1063   0.5908   0.1243
   1.250   0.6391   0.00893   0.00173  -0.1057   0.5437   0.1288
   1.500   0.6651   0.00911   0.00180  -0.1053   0.5156   0.1347
   2.000   0.7183   0.00938   0.00197  -0.1047   0.4724   0.1503
   2.250   0.7450   0.00949   0.00207  -0.1045   0.4513   0.1644
   2.500   0.7720   0.00953   0.00222  -0.1043   0.4309   0.2267
   2.750   0.7988   0.00954   0.00237  -0.1042   0.4093   0.3239
   3.000   0.8193   0.00841   0.00255  -0.1028   0.3896   1.0000
   3.250   0.8458   0.00865   0.00267  -0.1025   0.3713   1.0000
   3.500   0.8722   0.00889   0.00282  -0.1022   0.3547   1.0000
   3.750   0.8987   0.00912   0.00298  -0.1019   0.3407   1.0000
   4.000   0.9250   0.00936   0.00315  -0.1016   0.3259   1.0000
   4.250   0.9512   0.00962   0.00333  -0.1012   0.3102   1.0000
   4.500   0.9772   0.00989   0.00354  -0.1009   0.2931   1.0000
   4.750   1.0031   0.01017   0.00373  -0.1005   0.2689   1.0000
   5.000   1.0283   0.01054   0.00396  -0.1001   0.2348   1.0000
   5.250   1.0513   0.01121   0.00434  -0.0994   0.1861   1.0000
   5.500   1.0757   0.01167   0.00470  -0.0989   0.1685   1.0000
   5.750   1.1005   0.01207   0.00506  -0.0984   0.1553   1.0000
   6.000   1.1253   0.01247   0.00540  -0.0979   0.1359   1.0000
