  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 133 (MVA H.11) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2458   0.01027   0.00430  -0.0896   0.8468   0.0536
  -1.750   0.2719   0.00953   0.00344  -0.0890   0.8254   0.0569
  -1.500   0.2983   0.00924   0.00305  -0.0884   0.8011   0.0595
  -1.250   0.3248   0.00907   0.00273  -0.0879   0.7749   0.0619
  -1.000   0.3514   0.00898   0.00250  -0.0874   0.7477   0.0649
  -0.750   0.3782   0.00891   0.00229  -0.0870   0.7212   0.0669
  -0.500   0.4051   0.00875   0.00200  -0.0867   0.6953   0.0700
  -0.250   0.4321   0.00870   0.00185  -0.0864   0.6684   0.0747
   0.000   0.4591   0.00873   0.00175  -0.0861   0.6394   0.0798
   0.250   0.4859   0.00874   0.00168  -0.0858   0.6096   0.0912
   0.500   0.5128   0.00867   0.00166  -0.0856   0.5828   0.1506
   0.750   0.5349   0.00676   0.00178  -0.0848   0.5609   1.0000
   1.000   0.5620   0.00694   0.00180  -0.0845   0.5417   1.0000
   1.250   0.5894   0.00711   0.00183  -0.0844   0.5274   1.0000
   1.500   0.6168   0.00727   0.00188  -0.0842   0.5154   1.0000
   1.750   0.6442   0.00743   0.00195  -0.0841   0.5045   1.0000
   2.000   0.6717   0.00757   0.00202  -0.0840   0.4941   1.0000
   2.250   0.6993   0.00771   0.00210  -0.0839   0.4844   1.0000
   2.500   0.7266   0.00786   0.00219  -0.0837   0.4753   1.0000
   2.750   0.7541   0.00800   0.00228  -0.0836   0.4657   1.0000
   3.000   0.7816   0.00814   0.00238  -0.0835   0.4566   1.0000
   3.250   0.8088   0.00829   0.00249  -0.0834   0.4454   1.0000
   3.500   0.8358   0.00846   0.00259  -0.0832   0.4318   1.0000
   3.750   0.8629   0.00862   0.00272  -0.0831   0.4190   1.0000
   4.000   0.8899   0.00879   0.00285  -0.0829   0.4066   1.0000
   4.500   0.9436   0.00915   0.00314  -0.0826   0.3721   1.0000
   4.750   0.9696   0.00942   0.00330  -0.0823   0.3450   1.0000
   5.000   0.9946   0.00982   0.00352  -0.0820   0.3049   1.0000
   5.250   1.0187   0.01034   0.00383  -0.0815   0.2663   1.0000
   5.500   1.0434   0.01078   0.00415  -0.0811   0.2440   1.0000
   5.750   1.0687   0.01115   0.00446  -0.0808   0.2310   1.0000
   6.000   1.0942   0.01147   0.00478  -0.0805   0.2217   1.0000
