  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 15 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4809   0.03230   0.02784  -0.1169   0.6113   0.0358
  -1.750   0.5047   0.03099   0.02638  -0.1167   0.5931   0.0367
  -1.500   0.5417   0.03051   0.02550  -0.1168   0.5720   0.0378
  -1.250   0.5581   0.02868   0.02357  -0.1160   0.5475   0.0380
  -1.000   0.5763   0.02736   0.02211  -0.1152   0.5245   0.0382
  -0.750   0.5970   0.02634   0.02093  -0.1144   0.5051   0.0386
  -0.500   0.6194   0.02544   0.01988  -0.1138   0.4904   0.0392
  -0.250   0.6429   0.02459   0.01886  -0.1131   0.4792   0.0402
   0.000   0.6774   0.02455   0.01845  -0.1121   0.4705   0.0417
   0.250   0.6960   0.02295   0.01680  -0.1115   0.4630   0.0420
   0.500   0.7181   0.02192   0.01574  -0.1111   0.4566   0.0424
   0.750   0.7414   0.02120   0.01492  -0.1105   0.4504   0.0431
   1.000   0.7658   0.02057   0.01416  -0.1098   0.4451   0.0442
   1.250   0.7970   0.02047   0.01376  -0.1086   0.4405   0.0461
   1.500   0.8188   0.01929   0.01257  -0.1081   0.4361   0.0465
   1.750   0.8415   0.01867   0.01186  -0.1075   0.4316   0.0471
   2.000   0.8660   0.01818   0.01131  -0.1070   0.4278   0.0484
   2.250   0.8951   0.01829   0.01117  -0.1058   0.4239   0.0512
   2.500   0.9177   0.01727   0.01016  -0.1054   0.4200   0.0518
   2.750   0.9412   0.01685   0.00968  -0.1048   0.4162   0.0528
   3.000   0.9659   0.01661   0.00935  -0.1041   0.4123   0.0548
   3.250   0.9918   0.01629   0.00892  -0.1032   0.4082   0.0576
   3.500   1.0155   0.01589   0.00852  -0.1027   0.4039   0.0592
   3.750   1.0415   0.01648   0.00890  -0.1017   0.3999   0.0637
