  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 165 (MVA MK.11) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5057   0.00878   0.00231  -0.1642   0.6519   0.2834
  -1.750   0.5331   0.00882   0.00241  -0.1640   0.6410   0.3254
  -1.500   0.5604   0.00895   0.00249  -0.1637   0.6306   0.3452
  -1.250   0.5876   0.00909   0.00257  -0.1633   0.6199   0.3559
  -1.000   0.6145   0.00920   0.00258  -0.1630   0.6070   0.3628
  -0.750   0.6412   0.00931   0.00265  -0.1626   0.5897   0.3686
  -0.500   0.6671   0.00948   0.00267  -0.1620   0.5651   0.3752
  -0.250   0.6922   0.00967   0.00272  -0.1613   0.5234   0.3803
   0.000   0.7135   0.01022   0.00287  -0.1599   0.4465   0.3859
   0.500   0.7630   0.01093   0.00322  -0.1587   0.3899   0.3935
   0.750   0.7889   0.01118   0.00338  -0.1582   0.3748   0.3970
   1.000   0.8151   0.01141   0.00353  -0.1578   0.3632   0.4016
   1.250   0.8413   0.01162   0.00368  -0.1575   0.3539   0.4067
   1.500   0.8678   0.01180   0.00386  -0.1571   0.3461   0.4112
   1.750   0.8940   0.01199   0.00400  -0.1568   0.3384   0.4143
   2.000   0.9208   0.01213   0.00411  -0.1565   0.3318   0.4176
   2.250   0.9469   0.01228   0.00423  -0.1562   0.3251   0.4207
   2.500   0.9734   0.01242   0.00440  -0.1559   0.3191   0.4240
   2.750   0.9996   0.01258   0.00455  -0.1555   0.3126   0.4275
   3.000   1.0258   0.01274   0.00468  -0.1552   0.3048   0.4308
   3.250   1.0519   0.01289   0.00481  -0.1549   0.2976   0.4334
   3.500   1.0780   0.01301   0.00495  -0.1545   0.2907   0.4359
   3.750   1.1039   0.01316   0.00510  -0.1542   0.2830   0.4385
   4.000   1.1298   0.01331   0.00528  -0.1538   0.2760   0.4418
   4.250   1.1554   0.01351   0.00544  -0.1534   0.2672   0.4453
   4.500   1.1805   0.01371   0.00559  -0.1529   0.2526   0.4483
   4.750   1.2043   0.01401   0.00581  -0.1523   0.2274   0.4509
   5.000   1.2166   0.01542   0.00662  -0.1499   0.1303   0.4528
   5.250   1.2365   0.01611   0.00718  -0.1486   0.1053   0.4552
   5.500   1.2556   0.01689   0.00777  -0.1471   0.0639   0.4578
   5.750   1.2770   0.01742   0.00828  -0.1460   0.0547   0.4601
   6.000   1.2987   0.01787   0.00881  -0.1450   0.0485   0.4622
