  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 167 (V.KARMAN PROP.2) AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1997   0.01848   0.01157  -0.0774   0.5601   0.0653
  -1.750   0.2285   0.01725   0.01016  -0.0780   0.5560   0.0710
  -1.500   0.2576   0.01671   0.00956  -0.0783   0.5516   0.0760
  -1.250   0.2865   0.01598   0.00873  -0.0787   0.5472   0.0850
  -1.000   0.3153   0.01557   0.00816  -0.0790   0.5431   0.0964
  -0.750   0.3445   0.01503   0.00762  -0.0793   0.5392   0.1024
  -0.500   0.3690   0.00358  -0.00406  -0.0755   0.5333   0.0449
  -0.250   0.3971   0.00343  -0.00428  -0.0756   0.5295   0.0444
   0.000   0.4255   0.00322  -0.00450  -0.0758   0.5259   0.0444
   0.250   0.4540   0.00303  -0.00468  -0.0760   0.5225   0.0450
   0.500   0.4824   0.00290  -0.00482  -0.0763   0.5195   0.0460
   0.750   0.5108   0.00283  -0.00493  -0.0765   0.5165   0.0474
   1.000   0.5391   0.00280  -0.00499  -0.0767   0.5134   0.0491
   1.250   0.5676   0.00275  -0.00502  -0.0769   0.5099   0.0508
   1.500   0.5959   0.00271  -0.00507  -0.0771   0.5054   0.0539
   1.750   0.6240   0.00270  -0.00512  -0.0773   0.5004   0.0609
   2.000   0.6437   0.00172  -0.00390  -0.0762   0.4965   0.9084
   2.250   0.6755   0.00183  -0.00380  -0.0771   0.4929   1.0000
   2.500   0.7037   0.00186  -0.00382  -0.0772   0.4894   1.0000
   2.750   0.7315   0.00191  -0.00385  -0.0774   0.4854   1.0000
   3.000   0.7597   0.00191  -0.00382  -0.0776   0.4812   1.0000
   3.250   0.7877   0.00192  -0.00382  -0.0777   0.4763   1.0000
   3.500   0.8153   0.00197  -0.00384  -0.0779   0.4715   1.0000
   3.750   0.8433   0.00196  -0.00380  -0.0781   0.4653   1.0000
   4.000   0.8710   0.00197  -0.00379  -0.0782   0.4595   1.0000
   4.250   0.8987   0.00199  -0.00376  -0.0784   0.4538   1.0000
   4.500   0.9264   0.00200  -0.00373  -0.0785   0.4469   1.0000
   4.750   0.9539   0.00202  -0.00369  -0.0786   0.4406   1.0000
   5.000   0.9814   0.00204  -0.00365  -0.0788   0.4329   1.0000
   5.250   1.0087   0.00205  -0.00361  -0.0789   0.4216   1.0000
   5.500   1.0356   0.00208  -0.00360  -0.0789   0.4058   1.0000
   5.750   1.0618   0.00213  -0.00361  -0.0789   0.3797   1.0000
   6.000   1.0861   0.00229  -0.00363  -0.0787   0.3341   1.0000
