  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 176 (ALBATROS 7020) AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4241   0.00899   0.00244  -0.1329   0.6438   0.2167
  -1.750   0.4516   0.00907   0.00243  -0.1326   0.6287   0.2266
  -1.500   0.4791   0.00917   0.00242  -0.1324   0.6137   0.2347
  -1.250   0.5063   0.00921   0.00238  -0.1321   0.5966   0.2409
  -1.000   0.5333   0.00932   0.00237  -0.1318   0.5790   0.2479
  -0.750   0.5604   0.00940   0.00237  -0.1315   0.5627   0.2555
  -0.500   0.5876   0.00951   0.00239  -0.1312   0.5472   0.2628
  -0.250   0.6146   0.00957   0.00237  -0.1310   0.5295   0.2679
   0.000   0.6415   0.00965   0.00238  -0.1307   0.5089   0.2730
   0.250   0.6682   0.00980   0.00240  -0.1304   0.4852   0.2787
   0.500   0.6946   0.00991   0.00243  -0.1300   0.4516   0.2861
   1.000   0.7438   0.01061   0.00265  -0.1289   0.3607   0.3012
   1.250   0.7697   0.01084   0.00278  -0.1285   0.3465   0.3091
   1.500   0.7963   0.01099   0.00292  -0.1283   0.3371   0.3196
   1.750   0.8231   0.01111   0.00305  -0.1281   0.3312   0.3326
   2.000   0.8502   0.01118   0.00318  -0.1279   0.3264   0.3516
   2.250   0.8770   0.01126   0.00335  -0.1278   0.3217   0.3889
   2.500   0.9039   0.01123   0.00356  -0.1278   0.3176   0.4927
   2.750   0.9239   0.01036   0.00370  -0.1260   0.3139   1.0000
   3.000   0.9504   0.01056   0.00384  -0.1257   0.3078   1.0000
   3.250   0.9768   0.01078   0.00400  -0.1254   0.3031   1.0000
   3.500   1.0041   0.01090   0.00413  -0.1253   0.2985   1.0000
   3.750   1.0306   0.01109   0.00428  -0.1250   0.2932   1.0000
   4.000   1.0570   0.01129   0.00445  -0.1248   0.2882   1.0000
   4.250   1.0841   0.01141   0.00458  -0.1246   0.2827   1.0000
   4.500   1.1103   0.01161   0.00474  -0.1243   0.2766   1.0000
   4.750   1.1371   0.01175   0.00490  -0.1241   0.2712   1.0000
   5.000   1.1635   0.01192   0.00506  -0.1239   0.2642   1.0000
   5.250   1.1898   0.01209   0.00523  -0.1236   0.2572   1.0000
   5.500   1.2158   0.01229   0.00540  -0.1233   0.2483   1.0000
   5.750   1.2416   0.01249   0.00560  -0.1230   0.2370   1.0000
   6.000   1.2645   0.01297   0.00587  -0.1223   0.1961   1.0000
