  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 210 (DAIMLER) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2733   0.01190   0.00597  -0.0985   0.8194   0.0378
  -1.750   0.3006   0.01077   0.00466  -0.0982   0.8104   0.0395
  -1.500   0.3276   0.01042   0.00423  -0.0980   0.7988   0.0427
  -1.250   0.3546   0.00995   0.00364  -0.0975   0.7856   0.0436
  -1.000   0.3817   0.00954   0.00314  -0.0972   0.7738   0.0441
  -0.750   0.4092   0.00925   0.00279  -0.0970   0.7647   0.0455
  -0.500   0.4366   0.00897   0.00242  -0.0968   0.7561   0.0459
  -0.250   0.4644   0.00874   0.00216  -0.0966   0.7466   0.0470
   0.000   0.4921   0.00858   0.00193  -0.0965   0.7378   0.0485
   0.250   0.5197   0.00845   0.00174  -0.0963   0.7282   0.0512
   0.500   0.5474   0.00837   0.00166  -0.0962   0.7184   0.0541
   0.750   0.5752   0.00833   0.00161  -0.0961   0.7096   0.0585
   1.000   0.6027   0.00826   0.00159  -0.0959   0.6992   0.0911
   1.250   0.6256   0.00629   0.00173  -0.0953   0.6864   1.0000
   1.500   0.6529   0.00637   0.00170  -0.0950   0.6709   1.0000
   1.750   0.6800   0.00646   0.00170  -0.0948   0.6548   1.0000
   2.000   0.7071   0.00656   0.00172  -0.0946   0.6385   1.0000
   2.250   0.7339   0.00668   0.00175  -0.0943   0.6196   1.0000
   2.500   0.7603   0.00684   0.00179  -0.0939   0.5907   1.0000
   2.750   0.7857   0.00710   0.00187  -0.0934   0.5494   1.0000
   3.000   0.8099   0.00750   0.00200  -0.0928   0.4908   1.0000
   3.250   0.8329   0.00810   0.00223  -0.0920   0.4188   1.0000
   3.500   0.8563   0.00869   0.00252  -0.0914   0.3582   1.0000
   3.750   0.8805   0.00919   0.00279  -0.0909   0.3118   1.0000
   4.000   0.9050   0.00966   0.00305  -0.0905   0.2724   1.0000
   4.250   0.9297   0.01009   0.00332  -0.0901   0.2401   1.0000
   4.500   0.9548   0.01046   0.00360  -0.0897   0.2184   1.0000
   4.750   0.9802   0.01079   0.00386  -0.0894   0.2040   1.0000
   5.000   1.0056   0.01110   0.00413  -0.0890   0.1935   1.0000
   5.500   1.0564   0.01168   0.00470  -0.0884   0.1753   1.0000
   5.750   1.0816   0.01200   0.00498  -0.0880   0.1639   1.0000
   6.000   1.1066   0.01232   0.00529  -0.0877   0.1515   1.0000
