  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 234 (MVA CA5) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.8455   0.01060   0.00478  -0.2449   0.7061   0.2957
  -1.750   0.8728   0.01093   0.00517  -0.2443   0.6977   0.2996
  -1.500   0.8998   0.01130   0.00552  -0.2437   0.6889   0.3038
  -1.250   0.9287   0.01142   0.00556  -0.2437   0.6798   0.3089
  -0.750   0.9839   0.01184   0.00594  -0.2431   0.6616   0.3131
  -0.500   1.0106   0.01214   0.00622  -0.2425   0.6518   0.3148
  -0.250   1.0372   0.01247   0.00654  -0.2419   0.6420   0.3168
   0.000   1.0640   0.01279   0.00686  -0.2414   0.6346   0.3200
   0.250   1.0951   0.01261   0.00652  -0.2423   0.6276   0.3251
   0.500   1.1232   0.01268   0.00654  -0.2423   0.6212   0.3262
   0.750   1.1515   0.01272   0.00660  -0.2423   0.6142   0.3271
   1.000   1.1793   0.01283   0.00666  -0.2422   0.6074   0.3280
   1.250   1.2074   0.01291   0.00674  -0.2422   0.6008   0.3292
   1.500   1.2344   0.01309   0.00692  -0.2419   0.5937   0.3306
   1.750   1.2613   0.01330   0.00712  -0.2416   0.5874   0.3328
   2.000   1.2898   0.01332   0.00713  -0.2417   0.5806   0.3359
   2.250   1.3190   0.01327   0.00695  -0.2422   0.5740   0.3386
   2.500   1.3477   0.01323   0.00687  -0.2424   0.5675   0.3402
   2.750   1.3751   0.01327   0.00691  -0.2424   0.5605   0.3412
   3.000   1.4019   0.01339   0.00702  -0.2422   0.5539   0.3422
   3.250   1.4290   0.01346   0.00712  -0.2420   0.5465   0.3433
   3.750   1.4820   0.01370   0.00737  -0.2415   0.5313   0.3458
   4.250   1.5336   0.01397   0.00759  -0.2408   0.5121   0.3492
   4.500   1.5588   0.01414   0.00771  -0.2403   0.5018   0.3516
   4.750   1.5835   0.01433   0.00784  -0.2398   0.4910   0.3538
   5.000   1.6083   0.01447   0.00798  -0.2393   0.4791   0.3554
   5.250   1.6310   0.01472   0.00820  -0.2384   0.4644   0.3566
   5.500   1.6522   0.01506   0.00849  -0.2372   0.4470   0.3578
   5.750   1.6721   0.01545   0.00882  -0.2358   0.4287   0.3592
