  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 242 (MVA PR.2) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.7845   0.01187   0.00443  -0.2169   0.5760   0.0609
  -1.750   0.8243   0.01108   0.00416  -0.2205   0.5734   0.2612
  -1.500   0.8565   0.01095   0.00434  -0.2217   0.5710   0.4002
  -1.250   0.8855   0.01115   0.00450  -0.2218   0.5687   0.4253
  -1.000   0.9143   0.01139   0.00469  -0.2219   0.5660   0.4379
  -0.750   0.9431   0.01156   0.00484  -0.2221   0.5629   0.4475
  -0.500   0.9716   0.01166   0.00494  -0.2221   0.5588   0.4550
  -0.250   1.0002   0.01176   0.00499  -0.2222   0.5543   0.4612
   0.000   1.0282   0.01197   0.00516  -0.2222   0.5503   0.4674
   0.250   1.0568   0.01216   0.00530  -0.2224   0.5472   0.4745
   0.500   1.0854   0.01220   0.00540  -0.2225   0.5442   0.4782
   0.750   1.1136   0.01233   0.00555  -0.2226   0.5412   0.4830
   1.000   1.1420   0.01245   0.00564  -0.2227   0.5380   0.4881
   1.250   1.1708   0.01259   0.00570  -0.2230   0.5348   0.4906
   1.500   1.1995   0.01268   0.00579  -0.2233   0.5321   0.4926
   1.750   1.2279   0.01273   0.00589  -0.2235   0.5295   0.4947
   2.000   1.2562   0.01281   0.00600  -0.2237   0.5268   0.4973
   2.250   1.2844   0.01291   0.00611  -0.2238   0.5241   0.5006
   2.500   1.3127   0.01303   0.00621  -0.2240   0.5214   0.5041
   2.750   1.3410   0.01319   0.00631  -0.2243   0.5186   0.5067
   3.000   1.3689   0.01326   0.00644  -0.2244   0.5158   0.5089
   3.250   1.3964   0.01332   0.00657  -0.2245   0.5124   0.5115
   3.500   1.4239   0.01340   0.00669  -0.2245   0.5089   0.5145
   3.750   1.4513   0.01351   0.00680  -0.2246   0.5056   0.5175
   4.000   1.4789   0.01370   0.00694  -0.2247   0.5023   0.5202
   4.250   1.5061   0.01376   0.00707  -0.2247   0.4989   0.5227
   4.500   1.5329   0.01382   0.00721  -0.2247   0.4950   0.5251
   4.750   1.5595   0.01392   0.00735  -0.2246   0.4910   0.5277
   5.000   1.5858   0.01410   0.00751  -0.2245   0.4870   0.5305
   5.250   1.6118   0.01416   0.00768  -0.2244   0.4821   0.5334
   5.500   1.6373   0.01426   0.00780  -0.2241   0.4758   0.5364
   5.750   1.6620   0.01438   0.00794  -0.2237   0.4687   0.5390
   6.000   1.6862   0.01449   0.00811  -0.2232   0.4598   0.5416
