  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 255 (MVA CA.6) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3412   0.01042   0.00354  -0.1148   0.6047   0.4161
  -1.750   0.3696   0.01038   0.00351  -0.1150   0.5986   0.4209
  -1.500   0.3980   0.01042   0.00349  -0.1151   0.5935   0.4255
  -1.250   0.4268   0.01045   0.00349  -0.1154   0.5886   0.4296
  -1.000   0.4555   0.01049   0.00348  -0.1157   0.5836   0.4332
  -0.750   0.4836   0.01049   0.00346  -0.1158   0.5794   0.4374
  -0.500   0.5123   0.01053   0.00349  -0.1161   0.5757   0.4417
  -0.250   0.5411   0.01057   0.00351  -0.1164   0.5720   0.4459
   0.000   0.5696   0.01060   0.00353  -0.1166   0.5685   0.4504
   0.250   0.5979   0.01063   0.00356  -0.1169   0.5652   0.4558
   0.500   0.6264   0.01072   0.00361  -0.1171   0.5621   0.4608
   0.750   0.6550   0.01075   0.00366  -0.1174   0.5588   0.4659
   1.000   0.6831   0.01075   0.00371  -0.1176   0.5552   0.4718
   1.250   0.7113   0.01081   0.00376  -0.1178   0.5514   0.4777
   1.500   0.7396   0.01091   0.00382  -0.1180   0.5481   0.4829
   1.750   0.7678   0.01093   0.00390  -0.1183   0.5453   0.4881
   2.000   0.7960   0.01096   0.00398  -0.1185   0.5424   0.4946
   2.250   0.8240   0.01100   0.00406  -0.1187   0.5394   0.5016
   2.500   0.8519   0.01105   0.00414  -0.1189   0.5363   0.5105
   2.750   0.8799   0.01114   0.00425  -0.1191   0.5329   0.5216
   3.000   0.9075   0.01117   0.00437  -0.1193   0.5299   0.5376
   3.250   0.9348   0.01116   0.00449  -0.1194   0.5267   0.5633
   3.500   0.9614   0.01112   0.00462  -0.1194   0.5227   0.6083
   3.750   0.9868   0.01106   0.00478  -0.1191   0.5177   0.6874
   4.000   1.0084   0.01080   0.00496  -0.1179   0.5128   0.8107
   4.250   1.0388   0.01062   0.00508  -0.1182   0.5074   1.0000
   4.500   1.0647   0.01078   0.00519  -0.1180   0.5027   1.0000
   4.750   1.0905   0.01092   0.00533  -0.1178   0.4984   1.0000
   5.000   1.1159   0.01102   0.00546  -0.1175   0.4934   1.0000
   5.250   1.1406   0.01117   0.00559  -0.1172   0.4880   1.0000
   5.500   1.1651   0.01132   0.00574  -0.1167   0.4822   1.0000
   5.750   1.1885   0.01144   0.00589  -0.1161   0.4742   1.0000
   6.000   1.2112   0.01160   0.00604  -0.1153   0.4657   1.0000
