  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 282 (DAIMLER XIII) AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3668   0.00897   0.00278  -0.1207   0.8393   0.0577
  -1.750   0.3943   0.00875   0.00246  -0.1203   0.8170   0.0634
  -1.250   0.4480   0.00857   0.00226  -0.1195   0.7603   0.1362
  -1.000   0.4746   0.00873   0.00227  -0.1190   0.7333   0.1502
  -0.750   0.5017   0.00883   0.00228  -0.1187   0.7107   0.1593
  -0.500   0.5287   0.00896   0.00228  -0.1184   0.6899   0.1671
  -0.250   0.5559   0.00903   0.00229  -0.1182   0.6680   0.1751
   0.000   0.5829   0.00912   0.00229  -0.1180   0.6466   0.1829
   0.250   0.6101   0.00921   0.00232  -0.1178   0.6252   0.1920
   0.500   0.6370   0.00930   0.00234  -0.1176   0.6058   0.2030
   0.750   0.6642   0.00937   0.00238  -0.1174   0.5882   0.2148
   1.000   0.6914   0.00944   0.00241  -0.1173   0.5728   0.2263
   1.250   0.7186   0.00950   0.00246  -0.1172   0.5594   0.2422
   1.500   0.7459   0.00954   0.00253  -0.1171   0.5474   0.2723
   2.000   0.7937   0.00820   0.00274  -0.1155   0.5261   1.0000
   2.250   0.8210   0.00837   0.00283  -0.1154   0.5154   1.0000
   2.500   0.8481   0.00855   0.00292  -0.1152   0.5047   1.0000
   2.750   0.8753   0.00871   0.00303  -0.1151   0.4937   1.0000
   3.000   0.9024   0.00886   0.00314  -0.1150   0.4814   1.0000
   3.250   0.9291   0.00905   0.00325  -0.1147   0.4653   1.0000
   3.500   0.9555   0.00923   0.00336  -0.1145   0.4461   1.0000
   3.750   0.9818   0.00944   0.00349  -0.1142   0.4250   1.0000
   4.000   1.0077   0.00968   0.00364  -0.1139   0.4024   1.0000
   4.250   1.0330   0.00999   0.00382  -0.1135   0.3762   1.0000
   4.500   1.0570   0.01041   0.00407  -0.1129   0.3420   1.0000
   5.000   1.1048   0.01130   0.00464  -0.1117   0.2873   1.0000
   5.250   1.1287   0.01173   0.00495  -0.1111   0.2675   1.0000
   5.500   1.1532   0.01210   0.00524  -0.1106   0.2503   1.0000
   5.750   1.1775   0.01247   0.00553  -0.1102   0.2353   1.0000
   6.000   1.2015   0.01285   0.00585  -0.1096   0.2179   1.0000
