  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 300 (FRIEDRICHSHAFEN G20) AIRFOIL           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4140   0.01728   0.01161  -0.1138   0.6527   0.0611
  -1.750   0.4402   0.01781   0.01216  -0.1136   0.6424   0.0644
  -1.500   0.4693   0.01625   0.01026  -0.1136   0.6329   0.0675
  -1.250   0.4979   0.01478   0.00840  -0.1136   0.6243   0.0704
  -1.000   0.5252   0.01400   0.00747  -0.1136   0.6157   0.0718
  -0.750   0.5525   0.01394   0.00742  -0.1136   0.6074   0.0737
  -0.500   0.5800   0.01361   0.00697  -0.1134   0.5996   0.0756
  -0.250   0.6082   0.01282   0.00601  -0.1133   0.5921   0.0755
   0.000   0.6357   0.01232   0.00534  -0.1132   0.5840   0.0760
   0.250   0.6635   0.01197   0.00491  -0.1130   0.5755   0.0775
   0.500   0.6907   0.01176   0.00458  -0.1128   0.5670   0.0792
   0.750   0.7184   0.01151   0.00427  -0.1127   0.5584   0.0802
   1.000   0.7456   0.01139   0.00406  -0.1125   0.5508   0.0810
   1.250   0.7732   0.01126   0.00391  -0.1123   0.5427   0.0816
   1.500   0.8000   0.01093   0.00353  -0.1121   0.5349   0.0828
   1.750   0.8272   0.01074   0.00334  -0.1120   0.5260   0.0845
   2.000   0.8542   0.01070   0.00329  -0.1118   0.5175   0.0865
   2.250   0.8813   0.01070   0.00329  -0.1116   0.5083   0.0896
   2.500   0.9084   0.01070   0.00327  -0.1114   0.4996   0.0926
   2.750   0.9352   0.01075   0.00328  -0.1112   0.4903   0.0950
   3.000   0.9623   0.01066   0.00323  -0.1111   0.4801   0.1003
   3.250   0.9890   0.01072   0.00328  -0.1109   0.4690   0.1058
   3.500   1.0155   0.01078   0.00332  -0.1107   0.4566   0.1129
   3.750   1.0417   0.01089   0.00341  -0.1104   0.4438   0.1224
   4.000   1.0680   0.01098   0.00350  -0.1102   0.4302   0.1357
   4.250   1.0940   0.01110   0.00363  -0.1099   0.4161   0.1568
   5.000   1.1680   0.01041   0.00425  -0.1086   0.3824   1.0000
   5.250   1.1936   0.01065   0.00445  -0.1083   0.3740   1.0000
   5.500   1.2188   0.01092   0.00467  -0.1079   0.3662   1.0000
   5.750   1.2441   0.01116   0.00489  -0.1076   0.3590   1.0000
   6.000   1.2690   0.01144   0.00515  -0.1072   0.3524   1.0000
