  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 301 (FRIEDRICHSHAFEN G 13) AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5014   0.02077   0.01495  -0.1389   0.6596   0.0586
  -1.500   0.5545   0.01704   0.01107  -0.1399   0.6451   0.0617
  -1.250   0.5821   0.01635   0.01023  -0.1399   0.6377   0.0636
  -1.000   0.6119   0.01714   0.01074  -0.1393   0.6298   0.0684
  -0.750   0.6391   0.01486   0.00829  -0.1397   0.6225   0.0703
  -0.500   0.6698   0.01218   0.00511  -0.1392   0.6152   0.0491
  -0.250   0.6970   0.01192   0.00472  -0.1389   0.6067   0.0498
   0.000   0.7242   0.01135   0.00414  -0.1387   0.5969   0.0516
   0.250   0.7510   0.01120   0.00394  -0.1384   0.5863   0.0533
   0.500   0.7777   0.01105   0.00373  -0.1381   0.5752   0.0551
   0.750   0.8047   0.01091   0.00356  -0.1378   0.5636   0.0573
   1.000   0.8316   0.01072   0.00334  -0.1375   0.5519   0.0601
   1.250   0.8582   0.01069   0.00329  -0.1372   0.5399   0.0644
   1.500   0.8847   0.01067   0.00322  -0.1369   0.5280   0.0694
   1.750   0.9114   0.01062   0.00316  -0.1367   0.5164   0.0760
   2.000   0.9381   0.01059   0.00311  -0.1364   0.5049   0.0836
   2.500   0.9907   0.01071   0.00316  -0.1358   0.4832   0.1051
   2.750   1.0155   0.00968   0.00349  -0.1360   0.4730   0.7354
   3.000   1.0395   0.00940   0.00354  -0.1348   0.4639   1.0000
   3.250   1.0651   0.00963   0.00365  -0.1344   0.4545   1.0000
   3.500   1.0914   0.00980   0.00377  -0.1341   0.4451   1.0000
   3.750   1.1171   0.01002   0.00392  -0.1337   0.4371   1.0000
   4.000   1.1432   0.01020   0.00406  -0.1334   0.4296   1.0000
   4.250   1.1687   0.01043   0.00423  -0.1330   0.4227   1.0000
   4.500   1.1947   0.01061   0.00440  -0.1326   0.4153   1.0000
   4.750   1.2198   0.01086   0.00459  -0.1322   0.4082   1.0000
   5.000   1.2458   0.01103   0.00476  -0.1319   0.4012   1.0000
   5.500   1.2961   0.01145   0.00516  -0.1310   0.3866   1.0000
   5.750   1.3205   0.01171   0.00538  -0.1305   0.3795   1.0000
   6.000   1.3459   0.01190   0.00558  -0.1301   0.3723   1.0000
