  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 315 (HANSA-BRANDENBURG III.5) AIRFOIL       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1687   0.02074   0.01490  -0.0649   0.6766   0.0483
  -1.750   0.1906   0.01758   0.01157  -0.0646   0.6633   0.0505
  -1.500   0.2158   0.01682   0.01073  -0.0643   0.6478   0.0526
  -1.250   0.2422   0.01632   0.01007  -0.0637   0.6319   0.0565
  -1.000   0.2680   0.01537   0.00887  -0.0631   0.6159   0.0619
  -0.750   0.2938   0.01473   0.00816  -0.0627   0.6012   0.0648
  -0.500   0.3222   0.01591   0.00915  -0.0621   0.5887   0.0717
  -0.250   0.3463   0.01367   0.00687  -0.0620   0.5792   0.0778
   0.000   0.3727   0.01326   0.00634  -0.0616   0.5698   0.0891
   0.250   0.4000   0.01359   0.00659  -0.0612   0.5610   0.0985
   0.750   0.4464   0.00270  -0.00448  -0.0571   0.5407   0.0456
   1.000   0.4724   0.00254  -0.00466  -0.0567   0.5330   0.0455
   1.250   0.4982   0.00244  -0.00481  -0.0562   0.5243   0.0457
   1.500   0.5243   0.00235  -0.00492  -0.0558   0.5133   0.0462
   1.750   0.5502   0.00230  -0.00500  -0.0554   0.5028   0.0471
   2.000   0.5763   0.00228  -0.00506  -0.0550   0.4936   0.0483
   2.250   0.6027   0.00221  -0.00513  -0.0547   0.4838   0.0495
   2.500   0.6288   0.00217  -0.00519  -0.0543   0.4714   0.0519
   2.750   0.6551   0.00216  -0.00523  -0.0540   0.4587   0.0562
   3.000   0.6812   0.00215  -0.00522  -0.0537   0.4463   0.0703
   3.250   0.7239   0.00150  -0.00394  -0.0574   0.4277   1.0000
   3.500   0.7484   0.00154  -0.00401  -0.0568   0.4065   1.0000
   3.750   0.7726   0.00160  -0.00406  -0.0561   0.3806   1.0000
   4.000   0.7961   0.00169  -0.00412  -0.0554   0.3514   1.0000
   4.250   0.8192   0.00179  -0.00417  -0.0546   0.3231   1.0000
   4.500   0.8423   0.00191  -0.00418  -0.0539   0.2966   1.0000
   4.750   0.8652   0.00203  -0.00418  -0.0532   0.2729   1.0000
   5.000   0.8887   0.00214  -0.00415  -0.0525   0.2549   1.0000
   5.250   0.9123   0.00226  -0.00410  -0.0519   0.2398   1.0000
   5.500   0.9359   0.00237  -0.00404  -0.0513   0.2256   1.0000
   5.750   0.9595   0.00250  -0.00397  -0.0507   0.2112   1.0000
   6.000   0.9828   0.00263  -0.00388  -0.0500   0.1957   1.0000
