  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 319 (HANSA-BRANDENBURG II) AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3173   0.02303   0.01786  -0.0891   0.6394   0.0453
  -1.750   0.3464   0.02114   0.01554  -0.0887   0.6314   0.0498
  -1.500   0.3720   0.02014   0.01454  -0.0887   0.6221   0.0505
  -1.250   0.3985   0.01938   0.01369  -0.0886   0.6138   0.0522
  -1.000   0.4265   0.01817   0.01220  -0.0882   0.6053   0.0569
  -0.750   0.4531   0.01749   0.01148  -0.0881   0.5970   0.0586
  -0.500   0.4809   0.01673   0.01046  -0.0877   0.5884   0.0645
  -0.250   0.5077   0.01608   0.00979  -0.0876   0.5803   0.0666
   0.000   0.5353   0.01555   0.00906  -0.0873   0.5718   0.0736
   0.250   0.5623   0.01502   0.00852  -0.0871   0.5636   0.0771
   0.500   0.5896   0.01451   0.00786  -0.0868   0.5548   0.0849
   0.750   0.6171   0.01406   0.00736  -0.0865   0.5462   0.0891
   1.000   0.6442   0.01356   0.00674  -0.0862   0.5372   0.0976
   1.250   0.6751   0.01114   0.00374  -0.0842   0.5302   0.0429
   1.500   0.7020   0.01100   0.00354  -0.0839   0.5213   0.0436
   1.750   0.7288   0.01075   0.00332  -0.0836   0.5124   0.0449
   2.250   0.7828   0.01058   0.00314  -0.0829   0.4927   0.0471
   2.500   0.8098   0.01057   0.00309  -0.0826   0.4819   0.0486
   2.750   0.8364   0.01057   0.00306  -0.0823   0.4693   0.0511
   3.250   0.8895   0.01064   0.00313  -0.0816   0.4353   0.0797
   3.750   0.9488   0.00943   0.00355  -0.0830   0.3782   1.0000
   4.000   0.9718   0.00987   0.00376  -0.0822   0.3469   1.0000
   4.250   0.9949   0.01030   0.00401  -0.0814   0.3216   1.0000
   4.500   1.0184   0.01070   0.00426  -0.0807   0.3029   1.0000
   4.750   1.0425   0.01105   0.00450  -0.0800   0.2899   1.0000
   5.000   1.0666   0.01140   0.00476  -0.0794   0.2800   1.0000
   5.250   1.0913   0.01168   0.00499  -0.0789   0.2725   1.0000
   5.500   1.1150   0.01205   0.00528  -0.0782   0.2656   1.0000
   5.750   1.1402   0.01227   0.00550  -0.0778   0.2606   1.0000
   6.000   1.1646   0.01257   0.00577  -0.0772   0.2558   1.0000
