  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 320 (HANSA-BRANDENBURG II.1) AIRFOIL        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3873   0.02554   0.02054  -0.1027   0.6475   0.0456
  -1.750   0.4145   0.02443   0.01934  -0.1030   0.6410   0.0465
  -1.500   0.4465   0.02226   0.01676  -0.1032   0.6347   0.0503
  -1.250   0.4735   0.02126   0.01575  -0.1034   0.6262   0.0509
  -1.000   0.5011   0.02043   0.01483  -0.1036   0.6180   0.0521
  -0.750   0.5318   0.01900   0.01306  -0.1035   0.6086   0.0565
  -0.500   0.5592   0.01824   0.01229  -0.1037   0.5980   0.0575
   0.000   0.6162   0.01671   0.01042  -0.1037   0.5703   0.0643
   0.250   0.6441   0.01617   0.00977  -0.1036   0.5477   0.0665
   0.500   0.6705   0.01572   0.00895  -0.1032   0.4979   0.0721
   0.750   0.6929   0.01581   0.00861  -0.1023   0.4259   0.0740
   1.000   0.7219   0.01305   0.00501  -0.1006   0.3987   0.0452
   1.250   0.7475   0.01307   0.00492  -0.1003   0.3787   0.0462
   1.500   0.7739   0.01307   0.00484  -0.1000   0.3655   0.0473
   1.750   0.8003   0.01308   0.00478  -0.0996   0.3555   0.0487
   2.000   0.8273   0.01305   0.00470  -0.0994   0.3478   0.0503
   2.250   0.8533   0.01311   0.00475  -0.0991   0.3402   0.0530
   2.500   0.8807   0.01310   0.00474  -0.0990   0.3347   0.0562
   2.750   0.9074   0.01313   0.00477  -0.0988   0.3286   0.0604
   3.000   0.9334   0.01325   0.00486  -0.0985   0.3224   0.0674
   3.250   0.9608   0.01324   0.00492  -0.0984   0.3179   0.0839
   3.500   0.9877   0.01321   0.00507  -0.0983   0.3129   0.1638
