  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 323 (HANSA-BRANDENBURG V.1) AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1871   0.00915   0.00329  -0.0567   0.5602   0.0520
  -1.750   0.2138   0.00853   0.00251  -0.0566   0.5573   0.0536
  -1.500   0.2420   0.00774   0.00136  -0.0563   0.5545   0.0583
  -1.250   0.2688   0.00715   0.00079  -0.0564   0.5514   0.0596
  -1.000   0.2962   0.00675   0.00032  -0.0564   0.5481   0.0619
  -0.500   0.3513   0.00595  -0.00074  -0.0562   0.5419   0.0702
   0.250   0.4476   0.01271   0.00516  -0.0565   0.5345   0.0459
   0.500   0.4759   0.01231   0.00474  -0.0563   0.5308   0.0463
   0.750   0.5040   0.01200   0.00439  -0.0562   0.5272   0.0469
   1.000   0.5321   0.01179   0.00416  -0.0560   0.5233   0.0481
   1.250   0.5606   0.01161   0.00401  -0.0559   0.5189   0.0495
   1.500   0.5884   0.01123   0.00364  -0.0558   0.5141   0.0508
   1.750   0.6163   0.01104   0.00343  -0.0556   0.5095   0.0525
   2.000   0.6446   0.01086   0.00331  -0.0556   0.5046   0.0548
   2.250   0.6730   0.01074   0.00321  -0.0556   0.4993   0.0573
   2.500   0.7010   0.01060   0.00304  -0.0555   0.4943   0.0630
   2.750   0.7295   0.01047   0.00298  -0.0555   0.4887   0.0715
   3.000   0.7616   0.00837   0.00308  -0.0567   0.4829   1.0000
   3.250   0.7893   0.00846   0.00306  -0.0565   0.4772   1.0000
   3.500   0.8173   0.00849   0.00309  -0.0565   0.4701   1.0000
   3.750   0.8449   0.00858   0.00310  -0.0563   0.4628   1.0000
   4.000   0.8728   0.00864   0.00315  -0.0562   0.4535   1.0000
   4.250   0.9005   0.00872   0.00320  -0.0561   0.4435   1.0000
   4.500   0.9279   0.00883   0.00325  -0.0560   0.4313   1.0000
   4.750   0.9552   0.00897   0.00333  -0.0559   0.4163   1.0000
   5.000   0.9821   0.00916   0.00344  -0.0558   0.3978   1.0000
   5.250   1.0084   0.00943   0.00360  -0.0556   0.3784   1.0000
   6.000   1.0864   0.01041   0.00432  -0.0551   0.3334   1.0000
