  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 324 (HANSA-BRANDENBURG) AIRFOIL             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2449   0.02341   0.01739  -0.0622   0.5305   0.0423
  -1.750   0.2719   0.02246   0.01634  -0.0624   0.5258   0.0431
  -1.500   0.3007   0.02145   0.01522  -0.0625   0.5208   0.0452
  -1.250   0.3300   0.02007   0.01355  -0.0625   0.5157   0.0478
  -1.000   0.3578   0.01927   0.01267  -0.0626   0.5109   0.0491
  -0.750   0.3876   0.01850   0.01162  -0.0625   0.5062   0.0536
  -0.500   0.4156   0.01761   0.01075  -0.0628   0.5014   0.0550
   0.250   0.4904   0.00575  -0.00118  -0.0609   0.4844   0.0700
   0.500   0.5184   0.00555  -0.00151  -0.0610   0.4803   0.0787
   0.750   0.5464   0.00539  -0.00166  -0.0611   0.4761   0.0850
   1.000   0.5793   0.00469  -0.00287  -0.0599   0.4719   0.0470
   1.250   0.6072   0.00427  -0.00326  -0.0599   0.4668   0.0450
   1.500   0.6351   0.00404  -0.00355  -0.0597   0.4617   0.0438
   1.750   0.6632   0.00384  -0.00373  -0.0597   0.4569   0.0436
   2.000   0.6911   0.00371  -0.00388  -0.0596   0.4527   0.0438
   2.250   0.7188   0.00365  -0.00397  -0.0596   0.4489   0.0453
   2.500   0.7467   0.00359  -0.00403  -0.0596   0.4452   0.0462
   2.750   0.7748   0.00350  -0.00409  -0.0597   0.4411   0.0469
   3.000   0.8027   0.00342  -0.00414  -0.0597   0.4374   0.0483
   3.250   0.8305   0.00341  -0.00417  -0.0598   0.4337   0.0504
   3.500   0.8582   0.00342  -0.00417  -0.0598   0.4298   0.0536
   3.750   0.8862   0.00339  -0.00416  -0.0599   0.4254   0.0605
   4.000   0.9141   0.00257  -0.00298  -0.0602   0.4210   1.0000
   4.250   0.9410   0.00265  -0.00303  -0.0601   0.4164   1.0000
   4.500   0.9684   0.00269  -0.00300  -0.0601   0.4123   1.0000
   4.750   0.9957   0.00273  -0.00297  -0.0601   0.4078   1.0000
   5.000   1.0227   0.00279  -0.00296  -0.0601   0.4037   1.0000
   5.250   1.0491   0.00288  -0.00293  -0.0601   0.3993   1.0000
   5.500   1.0764   0.00291  -0.00286  -0.0601   0.3951   1.0000
   5.750   1.1032   0.00295  -0.00281  -0.0601   0.3902   1.0000
   6.000   1.1295   0.00304  -0.00277  -0.0601   0.3857   1.0000
