  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 344 (PFALZ 71) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0068   0.00961   0.00332  -0.0408   0.9792   0.0660
  -1.750   0.0317   0.00922   0.00307  -0.0430   0.9754   0.0955
  -1.500   0.0670   0.00899   0.00293  -0.0445   0.9698   0.1164
  -1.250   0.1068   0.00879   0.00278  -0.0470   0.9664   0.1314
  -1.000   0.1390   0.00858   0.00261  -0.0477   0.9579   0.1429
  -0.750   0.1724   0.00837   0.00242  -0.0486   0.9484   0.1541
  -0.500   0.2074   0.00813   0.00224  -0.0500   0.9376   0.1673
  -0.250   0.2433   0.00788   0.00205  -0.0515   0.9226   0.1813
   0.000   0.2774   0.00766   0.00189  -0.0526   0.9015   0.2055
   0.750   0.3443   0.00591   0.00186  -0.0478   0.7551   0.9520
   1.000   0.3902   0.00635   0.00199  -0.0513   0.6971   0.9883
   1.250   0.4473   0.00678   0.00215  -0.0578   0.6428   1.0000
   1.500   0.4715   0.00699   0.00216  -0.0569   0.6006   1.0000
   1.750   0.4956   0.00721   0.00219  -0.0560   0.5592   1.0000
   2.000   0.5195   0.00745   0.00223  -0.0551   0.5192   1.0000
   2.250   0.5435   0.00769   0.00229  -0.0543   0.4797   1.0000
   2.500   0.5672   0.00795   0.00237  -0.0534   0.4349   1.0000
   2.750   0.5907   0.00825   0.00245  -0.0525   0.3920   1.0000
   3.000   0.6143   0.00855   0.00257  -0.0516   0.3588   1.0000
   3.250   0.6381   0.00881   0.00271  -0.0507   0.3333   1.0000
   3.500   0.6621   0.00906   0.00284  -0.0499   0.3139   1.0000
   3.750   0.6865   0.00927   0.00299  -0.0491   0.2990   1.0000
   4.000   0.7111   0.00945   0.00314  -0.0484   0.2866   1.0000
   4.250   0.7358   0.00963   0.00328  -0.0477   0.2748   1.0000
   4.500   0.7605   0.00981   0.00344  -0.0470   0.2628   1.0000
   4.750   0.7851   0.01001   0.00361  -0.0463   0.2515   1.0000
   5.000   0.8098   0.01022   0.00379  -0.0456   0.2400   1.0000
   5.250   0.8348   0.01041   0.00396  -0.0450   0.2279   1.0000
   5.500   0.8598   0.01062   0.00416  -0.0444   0.2146   1.0000
   5.750   0.8845   0.01088   0.00437  -0.0438   0.1985   1.0000
   6.000   0.9094   0.01114   0.00459  -0.0433   0.1784   1.0000
