  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 483 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3429   0.00976   0.00396  -0.1128   0.8063   0.0202
  -1.750   0.3703   0.00923   0.00326  -0.1123   0.7983   0.0249
  -1.500   0.3974   0.00884   0.00277  -0.1120   0.7897   0.0352
  -1.250   0.4244   0.00852   0.00240  -0.1117   0.7809   0.0474
  -1.000   0.4514   0.00834   0.00215  -0.1113   0.7722   0.0573
  -0.750   0.4783   0.00813   0.00195  -0.1110   0.7625   0.0766
  -0.500   0.5053   0.00802   0.00185  -0.1107   0.7522   0.1019
  -0.250   0.5323   0.00795   0.00175  -0.1104   0.7415   0.1191
   0.000   0.5591   0.00790   0.00166  -0.1101   0.7299   0.1325
   0.250   0.5859   0.00787   0.00161  -0.1098   0.7174   0.1457
   0.500   0.6127   0.00786   0.00158  -0.1095   0.7034   0.1615
   0.750   0.6394   0.00788   0.00159  -0.1092   0.6875   0.1817
   1.000   0.6659   0.00793   0.00159  -0.1088   0.6699   0.2037
   1.250   0.6922   0.00797   0.00161  -0.1084   0.6504   0.2223
   1.500   0.7184   0.00805   0.00162  -0.1081   0.6289   0.2379
   1.750   0.7445   0.00814   0.00165  -0.1077   0.6074   0.2528
   2.000   0.7703   0.00827   0.00170  -0.1073   0.5873   0.2672
   2.250   0.7964   0.00838   0.00178  -0.1070   0.5696   0.2817
   2.500   0.8224   0.00849   0.00187  -0.1066   0.5534   0.2996
   2.750   0.8483   0.00855   0.00199  -0.1064   0.5381   0.3370
   3.250   0.9010   0.00772   0.00228  -0.1060   0.5119   1.0000
   3.500   0.9272   0.00791   0.00241  -0.1057   0.5001   1.0000
   3.750   0.9533   0.00809   0.00256  -0.1054   0.4889   1.0000
   4.000   0.9794   0.00829   0.00274  -0.1051   0.4773   1.0000
   4.250   1.0054   0.00847   0.00291  -0.1048   0.4650   1.0000
   4.500   1.0314   0.00865   0.00309  -0.1045   0.4519   1.0000
   4.750   1.0564   0.00889   0.00327  -0.1041   0.4251   1.0000
   5.000   1.0809   0.00919   0.00348  -0.1036   0.3943   1.0000
   5.250   1.1042   0.00964   0.00375  -0.1029   0.3517   1.0000
   5.500   1.1250   0.01040   0.00416  -0.1019   0.2870   1.0000
   5.750   1.1264   0.01373   0.00592  -0.0987   0.0286   1.0000
   6.000   1.1479   0.01456   0.00683  -0.0975   0.0155   1.0000
