  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 677 (= M 6) AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.750  -0.0743   0.01053   0.00292  -0.0120   0.6775   0.0919
  -1.500  -0.0472   0.01033   0.00277  -0.0118   0.6728   0.1042
  -1.250  -0.0204   0.01013   0.00266  -0.0116   0.6685   0.1342
  -1.000   0.0054   0.00976   0.00253  -0.0113   0.6640   0.1914
  -0.750   0.0270   0.00894   0.00240  -0.0105   0.6591   0.3772
  -0.500   0.0343   0.00728   0.00225  -0.0064   0.6547   0.7727
  -0.250   0.0582   0.00727   0.00256  -0.0046   0.6499   0.8920
   0.000   0.0845   0.00741   0.00271  -0.0037   0.6446   0.9206
   0.250   0.1131   0.00764   0.00291  -0.0032   0.6395   0.9384
   0.500   0.1427   0.00784   0.00306  -0.0031   0.6340   0.9501
   0.750   0.1819   0.00809   0.00328  -0.0051   0.6273   0.9592
   1.000   0.2296   0.00835   0.00347  -0.0090   0.6191   0.9648
   1.250   0.2742   0.00850   0.00356  -0.0125   0.6100   0.9690
   1.500   0.3189   0.00868   0.00371  -0.0159   0.6016   0.9757
   1.750   0.3660   0.00882   0.00378  -0.0199   0.5928   0.9803
   2.000   0.4109   0.00889   0.00383  -0.0235   0.5814   0.9864
   2.250   0.4503   0.00886   0.00378  -0.0261   0.5686   0.9889
   2.500   0.4866   0.00885   0.00373  -0.0280   0.5530   0.9918
   2.750   0.5243   0.00887   0.00367  -0.0302   0.5333   0.9949
   3.000   0.5648   0.00886   0.00358  -0.0330   0.5086   0.9974
   3.250   0.5985   0.00892   0.00355  -0.0345   0.4868   0.9989
   3.500   0.6301   0.00902   0.00356  -0.0355   0.4690   1.0000
   3.750   0.6556   0.00913   0.00360  -0.0353   0.4548   1.0000
   4.000   0.6812   0.00924   0.00367  -0.0350   0.4432   1.0000
   4.250   0.7065   0.00937   0.00375  -0.0347   0.4329   1.0000
   4.500   0.7319   0.00947   0.00384  -0.0344   0.4231   1.0000
   4.750   0.7572   0.00958   0.00394  -0.0341   0.4133   1.0000
   5.000   0.7821   0.00972   0.00405  -0.0337   0.4024   1.0000
   5.250   0.8070   0.00985   0.00416  -0.0333   0.3904   1.0000
   5.500   0.8320   0.00994   0.00428  -0.0329   0.3799   1.0000
   5.750   0.8567   0.01007   0.00440  -0.0324   0.3677   1.0000
   6.000   0.8811   0.01021   0.00453  -0.0319   0.3528   1.0000
