  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 802 A AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4418   0.02282   0.01794  -0.1172   0.7456   0.0391
  -1.750   0.4681   0.02156   0.01656  -0.1176   0.7351   0.0398
  -1.500   0.4954   0.02059   0.01548  -0.1179   0.7231   0.0412
  -1.000   0.5514   0.01894   0.01343  -0.1181   0.6980   0.0450
  -0.750   0.5783   0.01811   0.01248  -0.1183   0.6836   0.0465
  -0.500   0.6070   0.01832   0.01242  -0.1179   0.6691   0.0500
  -0.250   0.6335   0.01693   0.01096  -0.1183   0.6552   0.0509
   0.000   0.6604   0.01637   0.01028  -0.1184   0.6412   0.0531
   0.250   0.6879   0.01632   0.01001  -0.1182   0.6271   0.0560
   0.500   0.7148   0.01547   0.00908  -0.1184   0.6131   0.0571
   0.750   0.7419   0.01507   0.00857  -0.1183   0.5995   0.0591
   1.000   0.7691   0.01594   0.00919  -0.1178   0.5861   0.0612
   1.500   0.8228   0.01413   0.00722  -0.1180   0.5619   0.0620
   1.750   0.8496   0.01357   0.00652  -0.1179   0.5511   0.0568
   2.000   0.8763   0.01279   0.00556  -0.1177   0.5403   0.0474
   2.250   0.9028   0.01247   0.00517  -0.1176   0.5299   0.0476
   2.750   0.9542   0.01172   0.00432  -0.1173   0.5067   0.0501
   3.000   0.9805   0.01196   0.00451  -0.1171   0.4930   0.0521
   3.250   1.0061   0.01204   0.00454  -0.1168   0.4799   0.0565
   3.500   1.0324   0.01224   0.00472  -0.1167   0.4677   0.0634
   4.000   1.0841   0.01280   0.00513  -0.1161   0.4448   0.0868
   4.250   1.1100   0.01266   0.00502  -0.1160   0.4332   0.0879
   4.750   1.1596   0.01287   0.00516  -0.1154   0.4093   0.0885
   5.000   1.1850   0.01294   0.00525  -0.1152   0.3980   0.0887
   5.250   1.2096   0.01308   0.00538  -0.1149   0.3880   0.0889
   5.500   1.2344   0.01324   0.00553  -0.1147   0.3785   0.0891
   5.750   1.2589   0.01341   0.00572  -0.1144   0.3702   0.0892
   6.000   1.2833   0.01361   0.00591  -0.1140   0.3608   0.0893
